Human;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-ctakes
4.0;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6681531047810609
3.0;0.40683397133172255;0.40683397133172255;0.4391093261561498;0.2988071523335984;0.2988071523335984;0.3383303246607606;0.37713747013679955;0.37713747013679955;0.4116144236724194;0.422254581202002;0.422254581202002;0.4532583973462943;0.4138217163390266;0.4138217163390266;0.44545455538871737
2.2;0.28765450143864085;0.28765450143864085;0.2820871963688101;0.2502172968684897;0.2502172968684897;0.24535824603285925;0.2652923635132882;0.2652923635132882;0.26014277373844097;0.30728166133365475;0.30728166133365475;0.3013679382640484;0.28765450143864085;0.28765450143864085;0.2820871963688101
3.2;0.45366345920114737;0.45366345920114737;0.45366345920114737;0.3061862178478973;0.3061862178478973;0.3061862178478973;0.4242471192483741;0.4242471192483741;0.4242471192483741;0.4649635141938074;0.4649635141938074;0.4649635141938074;0.4649501623460054;0.4649501623460054;0.4649501623460054
3.2;0.3903600291794133;0.3903600291794133;0.3640126041546321;0.3903600291794133;0.3903600291794133;0.3640126041546321;0.3903600291794133;0.3903600291794133;0.3640126041546321;0.3903600291794133;0.3903600291794133;0.3640126041546321;0.3903600291794133;0.3903600291794133;0.3640126041546321
3.2;0.3521605627323637;0.3521605627323637;0.4140695518705594;0.31378581622109447;0.31378581622109447;0.3774256780481986;0.32659407181350525;0.32659407181350525;0.3897172080486988;0.38057027296802376;0.38057027296802376;0.4408220275294832;0.41505634481097237;0.41505634481097237;0.4719288987767555
1.4;0.20844045179326534;0.20844045179326534;0.20844045179326534;0.16317848796612636;0.16317848796612636;0.16317848796612636;0.17974800735872204;0.17974800735872204;0.17974800735872204;0.23574436362170484;0.23574436362170484;0.23574436362170484;0.2397331654763267;0.2397331654763267;0.2397331654763267
3.0;0.4781121311273401;0.4781121311273401;0.4781121311273401;0.27863910628767646;0.27863910628767646;0.27863910628767646;0.43197109070386724;0.43197109070386724;0.43197109070386724;0.5095940284720388;0.5095940284720388;0.5095940284720388;0.5144835698962863;0.5144835698962863;0.5144835698962863
1.4;0.3552486986481779;0.3486172618647951;0.3486172618647951;0.21908902300206642;0.21483446221182986;0.21483446221182986;0.30887486729371055;0.30299626885454767;0.30299626885454767;0.37785004303139286;0.37086388319519153;0.37086388319519153;0.4227292675297546;0.41519882756607684;0.41519882756607684
3.0;0.3769709774433292;0.3769709774433292;0.44255357778091237;0.2766992952647332;0.2766992952647332;0.3471825374147068;0.3521716285828788;0.3521716285828788;0.4191408659279463;0.38926188888709623;0.38926188888709623;0.4541188401583112;0.39545279498351876;0.39545279498351876;0.45966353076161304
3.0;0.508651707287808;0.508651707287808;0.508651707287808;0.43481317827315213;0.43481317827315213;0.43481317827315213;0.4891576721357369;0.4891576721357369;0.4891576721357369;0.517801150277986;0.517801150277986;0.517801150277986;0.508651707287808;0.508651707287808;0.508651707287808
1.0;0.2027592025929508;0.2027592025929508;0.2027592025929508;0.11952286093343936;0.11952286093343936;0.11952286093343936;0.17316978682917555;0.17316978682917555;0.17316978682917555;0.21845222494884625;0.21845222494884625;0.21845222494884625;0.2027592025929508;0.2027592025929508;0.2027592025929508
3.0;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.21081851067789195;0.29999999999999993;0.29999999999999993;0.29999999999999993
2.0;0.36764600408849296;0.36764600408849296;0.35425428317160773;0.34114411961050656;0.34114411961050656;0.3286335345030997;0.35450749172959395;0.35450749172959395;0.34153079991869895;0.3771075572931445;0.3771075572931445;0.3634484818945156;0.38754660515049527;0.38754660515049527;0.3737000019162675
2.4;0.35856858280031806;0.35856858280031806;0.3380617018914066;0.35856858280031806;0.35856858280031806;0.3380617018914066;0.35856858280031806;0.35856858280031806;0.3380617018914066;0.35856858280031806;0.35856858280031806;0.3380617018914066;0.35856858280031806;0.35856858280031806;0.3380617018914066
3.4;0.4993778294789865;0.5122728781015018;0.5360781603090524;0.4616902584383193;0.47673129462279606;0.5020790110464023;0.4990158204771553;0.5119215612466845;0.5357422890240356;0.49920682168607594;0.5121068706596252;0.5359194525279793;0.4993778294789865;0.5122728781015018;0.5360781603090524
3.0;0.528964870450728;0.528964870450728;0.5173381404194888;0.4536323543632774;0.4536323543632774;0.44320263021395917;0.5061936137541042;0.5061936137541042;0.4948209487492624;0.538286843768465;0.538286843768465;0.5265837650814618;0.528964870450728;0.528964870450728;0.5173381404194888
2.0;0.4344202221032508;0.42394623898564665;0.41532157318617313;0.2870189239409639;0.27975144247209416;0.27386127875258304;0.38129549643641025;0.37182750659389735;0.3641094992332676;0.4580916055304721;0.44727248162570404;0.4382427496740121;0.45365235361737766;0.443121770378876;0.43406492581178663
3.2;0.5554978835141199;0.5554978835141199;0.5635405462778252;0.4736842105263157;0.4736842105263157;0.4879500364742666;0.5405262074064451;0.5405262074064451;0.5497557506628893;0.5629786117979643;0.5629786117979643;0.5704090439038187;0.5794923105472568;0.5794923105472568;0.5854713102113667
2.0;0.6556368262687489;0.6556368262687489;0.6673819350851317;0.3253574116367822;0.3253574116367822;0.3532098197605887;0.6315490331726734;0.6315490331726734;0.6445396065347563;0.6597705859798042;0.6597705859798042;0.6712853094411783;0.663340657141886;0.663340657141886;0.6746423722356759
3.0;0.39926663197538176;0.39926663197538176;0.46512464940169757;0.26490647141300877;0.26490647141300877;0.34992710611188266;0.36729848007997973;0.36729848007997973;0.43801769020236225;0.4124109565819074;0.4124109565819074;0.4762796659922185;0.39926663197538176;0.39926663197538176;0.46512464940169757
