Human;UBSM_WBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-default_ner-none_UBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-default_ner-metamaplite
3.5;0.8802262973921773
2.5;0.6173463572327461
3.45;0.6570385696040635
4.0;0.8491225371132953
3.0;0.3409937995295972
2.0;0.4085325389052389
2.5;0.6413264375357783
3.0;0.5837956977303311
0.0;0.0
2.5;0.4896251011262011
3.0;0.8581163303210331
0.5;0.26597279904688576
3.0;0.5766608694976154
4.1;0.776961597101604
3.5;0.8528028654224417
4.0;0.925089935476782
2.5;0.6221148421158675
4.0;0.9081352426894476
4.0;0.7592098803369693
4.1;0.7366634148004747
4.0;0.8498945642319484
3.0;0.7646878120027969
4.0;0.7743423393113613
3.0;0.7503174293845478
4.5;0.9204681710770732
3.5;0.8249579113843053
3.5;0.3866388216924369
3.0;0.7871128871110554
3.5;0.8922092228190541
4.0;0.9580724474994385
4.0;0.9245837953431904
4.0;0.9682458365518541
3.0;0.6010296302021927
2.5;0.749088804278564
2.5;0.3265986323710904
3.0;0.6666666666666666
0.0;0.1144727614064285
4.25;0.7500933903242777
3.0;0.6801690188651468
3.0;0.7359111360823756
4.0;0.7035264706814485
0.0;0.14839919725859604
3.5;0.7043580516064534
1.0;0.28195633571851275
0.0;0.11964654954178884
1.5;0.5135231383473648
3.6;0.6192153157473798
3.0;0.7633987102092263
3.0;0.7420599032077092
5.0;0.9423991232239595
3.5;0.6706825336086628
0.0;0.09433753878457124
4.0;0.6558138858152404
4.5;0.9510729436480531
3.0;0.689047513443366
3.5;0.8190283593479223
4.0;0.8751788784110126
3.0;0.8864052604279183
3.0;0.6144061955322977
3.5;0.8324764227437642
2.5;0.3960230126617198
3.5;0.7347990799571831
3.5;0.2279211529192759
3.0;0.6131573201429108
4.5;0.649519052838329
2.5;0.45881973914473384
3.5;0.5586401908936484
3.0;0.747798578880648
2.5;0.6971251916705563
4.0;0.7144592184144202
3.5;0.8007656349912293
3.5;0.5982740397481952
3.0;0.6992433294130413
2.5;0.8382635787289107
4.0;0.7627700713964739
3.5;0.3779644730092272
2.5;0.5711751638541405
2.5;0.7415291619868534
5.0;0.9444444444444444
4.25;0.746217262115905
2.5;0.4583333333333334
2.95;0.6666666666666667
3.0;0.8226602148297534
3.45;0.8496793685588861
2.5;0.7104443167759377
0.5;0.40173571021653914
4.5;0.4082482904638631
2.0;0.5431734225977107
2.0;0.33208250115739013
3.5;0.9731647801646424
3.5;0.7762588742628078
4.0;0.885573217700729
3.5;0.7351191987397434
4.0;0.8215619214106105
2.5;0.28397775270232545
3.0;0.7212707865581718
3.0;0.3870015640309174
3.0;0.4706250406764445
1.0;0.2561329592435808
2.0;0.7272727272727273
2.0;0.1178511301977579
4.5;0.8636363636363636
4.0;NaN
3.0;0.9354143466934853
3.0;0.8033515530751364
4.15;0.756385035698237
2.5;0.5342558588584664
3.5;0.6450922572483097
4.0;0.2357022603955158
5.0;0.9534625892455924
4.8;0.8885233166386385
0.0;0.1830730233380795
4.6;0.9224707287903928
3.0;0.6622227853874209
2.7;0.4930050941867361
3.6;0.8820570313241949
3.75;0.8337275850540885
3.65;0.6052450592034502
0.0;0.289486988141341
3.0;0.37499999999999994
4.75;0.8382022466958048
3.6;0.8840242803210883
3.5;0.7745253472663225
2.75;0.5261110946318828
5.0;0.867227382716513
4.0;0.5
3.0;0.8451542547285166
3.5;0.682652115914232
3.35;0.6239228543840911
3.2;0.7290581074360769
3.6;0.7375912557783437
3.75;0.9187860934697013
4.0;0.8593378488473195
3.75;0.7358986653882904
3.5;0.7434879206047482
3.5;0.8787047618078364
4.25;0.8583666136285871
0.0;0.23505057716076735
3.5;0.7624846502551033
2.75;0.38138503569823695
5.0;0.8083413925669869
3.75;0.8333333333333335
3.45;0.8017835220741516
3.0;0.8705484761484772
2.25;0.42358825617206375
3.25;0.6769776266274173
4.2;0.8413476208858863
4.25;0.8618849205043384
4.4;0.8949156711965369
2.5;0.5498440650555686
1.75;0.5520938739474586
3.5;0.8545541568224365
3.5;0.751116780314079
5.0;0.9999999999999998
3.95;0.8507515466530959
3.5;0.6914654026053645
3.25;0.4399638639166409
4.5;0.5815777924796849
0.0;0.3815954888779284
3.1;0.8040302522073697
3.5;0.8120387310658785
4.25;0.8966200824808523
2.75;0.19245008972987526
3.5;0.3849001794597505
4.5;0.8643495871435118
3.5;0.7975889602811277
2.9;0.47022491632025243
3.0;0.7560099000460775
3.0;0.6531613787338792
3.0;0.6206614708556628
4.0;0.43301270189221935
0.0;0.20207259421636903
