Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-none_ner-none_Average;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-biosses_ner-none_Average;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-blagec2019_ner-none_Average;bioconceptvec_fasttext__tok-whitespace_lc_sw-user_cf-default_ner-none_Average
3.5;0.9998889670404143;0.9998176007182384;0.9998522110650221;0.9998443972632011
2.5;0.9985088060076037;0.9988460324503728;0.9988460324503728;0.9988460324503728
3.45;0.9989185063993018;0.9987172583828638;0.9987172583828638;0.9987172583828638
4.0;0.999844126613017;0.9998620789026705;0.9998292040144034;0.9998551425886942
3.0;0.9982055397206862;0.9984362676654667;0.9984362676654667;0.9985478612465732
2.0;0.998291134984495;0.9988234619070683;0.9988234619070683;0.9988234619070683
2.5;0.9994814478512687;0.9991829897239859;0.9993728202786483;0.9991528779983173
3.0;0.9924809280080832;0.9940288954087805;0.9940288954087805;0.9940288954087805
0.0;0.9994117121433561;0.998918824672205;0.998918824672205;0.998918824672205
2.5;0.9966974970115191;0.996662368225509;0.996662368225509;0.996662368225509
3.0;0.9994782822117785;0.9995534937800967;0.9995534937800967;0.9995534937800967
0.5;0.9964757135459739;0.9967625911919552;0.9967625911919552;0.9952951194627503
3.0;0.9996076628784053;0.9990301361847167;0.9990960711743948;0.9990301361847167
4.1;0.9996707387337483;0.9997945374380975;0.9997945374380975;0.9997945374380975
3.5;0.9986628959296221;0.9988213237524701;0.9988213237524701;0.9988213237524701
4.0;0.9999237219921555;0.9999737679227227;0.9999737679227227;0.9999737679227227
2.5;0.9992827148040315;0.9997061930691882;0.9997061930691882;0.9997061930691882
4.0;0.9994587411846135;0.9994248613075649;0.9994248613075649;0.9994333205255963
4.0;0.9993821563790538;0.9993350253233382;0.9993350253233382;0.9993376035096251
4.1;0.9988454236129358;0.9988678925924247;0.9988678925924247;0.9988678925924247
4.0;0.9993353696603348;0.9995784490535069;0.9995784490535069;0.9995784490535069
3.0;0.9993021036585713;0.999507726832917;0.999507726832917;0.9995233229219993
4.0;0.9970865512498371;0.9968277355117714;0.9968277355117714;0.9968277355117714
3.0;0.9979236961120177;0.9987732831254951;0.9987732831254951;0.9987732831254951
4.5;0.9995927373258808;0.9998795156504288;0.9999232386081032;0.999846082091026
3.5;0.999049091733412;0.9996835060081655;0.9996835060081655;0.9994907369428461
3.5;0.9993817704641453;0.9994014612443229;0.9994014612443229;0.9994014612443229
3.0;0.9996852453348363;0.9997416794302093;0.9997416794302093;0.9997435116815814
3.5;0.9997647012973444;0.9996306025768337;0.9996306025768337;0.9996306025768337
4.0;0.9999826302702894;0.9999707173905279;0.9999717524114745;0.9999702914627818
4.0;0.9999790576999689;0.9999674997712084;0.9999674997712084;0.9999670164078728
4.0;0.9997439967322922;0.9999524828694537;0.9999524828694537;0.9999251824949731
3.0;0.9987264317836447;0.9986908383274334;0.9987594901540034;0.9986908383274334
2.5;0.9994564708133273;0.9994045341183377;0.9994045341183377;0.9994045341183377
2.5;0.9995877571774718;0.9996323899189908;0.9996323899189908;0.9996323899189908
3.0;0.9984941416088052;0.9990196110705559;0.9990196110705559;0.9990196110705559
0.0;0.998451629337294;0.9984603416192431;0.9984603416192431;0.9984603416192431
4.25;0.9997313013653202;0.9998162362809561;0.9997568794449125;0.9998162362809561
3.0;0.9988638354522277;0.9986370298035452;0.9983261118441196;0.9986302264256463
3.0;0.9989208916586135;0.9991396898436501;0.9991396898436501;0.9991396898436501
4.0;0.998527659723013;0.9992980610315869;0.9992980610315869;0.9993111335323552
0.0;0.9979460172095487;0.9967903274176244;0.9967903274176244;0.9968514269435798
3.5;0.9994852004237519;0.9998050090938037;0.9998050090938037;0.9998050090938037
1.0;0.9904927834276097;0.9924917237135531;0.9924917237135531;0.9929117060011627
0.0;0.9989053690426797;0.9988760544473939;0.9988760544473939;0.9988760544473939
1.5;0.9971085613949467;0.9982407377557233;0.9982407377557233;0.9982407377557233
3.6;0.9984885422547367;0.9981996044739649;0.9981996044739649;0.9981996044739649
3.0;0.9998918489442513;0.9996906075074671;0.9996532116917494;0.9996523058893433
3.0;0.9996925208754986;0.9998356461485909;0.9998263380239294;0.9998416425031146
5.0;0.9994450523918208;0.9995425864562734;0.9995425864562734;0.9995425864562734
3.5;0.9995205747876589;0.9995876270453222;0.9995876270453222;0.9995876270453222
0.0;0.9982957104227204;0.9984338680737678;0.9985890127925484;0.9979485958092851
4.0;0.9954189430324903;0.9966607769062313;0.9966607769062313;0.9965129055607188
4.5;0.9994606760564143;0.9999553941345458;0.9999553941345458;0.9999553941345458
3.0;0.9995048860583049;0.9994447999497589;0.9994447999497589;0.9994447999497589
3.5;0.9999153253637187;0.9999225097238078;0.9999225097238078;0.9999225097238078
