Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;PubMed-and-PMC-w2v__tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none_Sum
3.5;0.9808142412116557;0.9837526659911591
2.5;0.9154913138488455;0.9041607027780922
3.45;0.913274314891005;0.9120037186184768
4.0;0.9659511081850511;0.9660217512886642
3.0;0.864727362815024;0.8372132474217683
2.0;0.7519069670595553;0.7496408292599148
2.5;0.9553543339574121;0.955235908816566
3.0;0.8300386999072068;0.8624607847961643
0.0;0.7024967580669448;0.6624559299078497
2.5;0.7451257686148827;0.7323160107713564
3.0;0.9742956703427395;0.9582437110443782
0.5;0.7867967441785542;0.7848489281312756
3.0;0.9226471887016954;0.9199122323203254
4.1;0.9651299922576868;0.9646914380672794
3.5;0.9352595065235834;0.8969251011964854
4.0;0.9893481573371283;0.9892865206761619
2.5;0.9126049247788901;0.9155672257857816
4.0;0.9894267757716392;0.986214810801812
4.0;0.9739649018050359;0.9723384916891129
4.1;0.9568573834753221;0.9561827178152453
4.0;0.940068813807205;0.9476576665061813
3.0;0.9690302842918855;0.959911987895672
4.0;0.966755528032262;0.8745376540174832
3.0;0.9091284187755614;0.9041667381064707
4.5;0.9898108014850433;0.989768364365104
3.5;0.9123685563131633;0.9119863758767374
3.5;0.7477183511475548;0.7257428979648282
3.0;0.9691355335880137;0.9636870225631937
3.5;0.9887061249947658;0.9867384986530038
4.0;0.9978141402569496;0.995699739686672
4.0;0.995908935541619;0.9962308809266506
4.0;0.9902253604950385;0.9895149155352985
3.0;0.8838996700007102;0.8898372997428436
2.5;0.9636966590783501;0.934889242394413
2.5;0.8901358952472472;0.8583632242416448
3.0;0.9417048968950377;0.898774151369684
0.0;0.5549789650261415;0.5325417918909098
4.25;0.954626108200676;0.9548972281637267
3.0;0.8535077129760481;0.853108761540214
3.0;0.8480051523744784;0.8387276802204254
4.0;0.8982892100218673;0.8860447942178472
0.0;0.7469142694269088;0.7141295979202151
3.5;0.9156765741417694;0.8867079995122833
1.0;0.728815062839822;0.6626447356277598
0.0;0.6488049084965689;0.6243719059516724
1.5;0.8435050000410168;0.8025623955100082
3.6;0.9016117943501648;0.9003441502676701
3.0;0.941173574270046;0.9579535970473616
3.0;0.9236108698137586;0.9207942951400475
5.0;0.9835474180013517;0.9823814481133075
3.5;0.8778204335872701;0.8744697914973709
0.0;0.696388859883911;0.6978729769099742
4.0;0.8753918782405578;0.8132349627677282
4.5;0.97845455112888;0.9461320756023158
3.0;0.9539273813460365;0.9332719142061093
3.5;0.9491229401885997;0.947894900083421
4.0;0.9766493526698337;0.974284206949161
3.0;0.9302842576635298;0.92465871279318
3.0;0.8811094209087059;0.8797893295087017
3.5;0.8992913920495251;0.8863760893915706
2.5;0.8529905116594833;0.8526196093439544
3.5;0.9720714371594343;0.9706147837841252
3.5;0.7982708195926729;0.7632190893484362
3.0;0.9500680884156029;0.9499381414983051
4.5;0.821970146696407;0.7880278818311809
2.5;0.8438231447934817;0.8323964536715109
3.5;0.8316686170410333;0.828121726548844
3.0;0.9371822948041156;0.9364149830394443
2.5;0.9273265452878522;0.8858869417288795
4.0;0.9177055248377816;0.7850572010055751
3.5;0.9661059470415524;0.9266803802280604
3.5;0.8397547720267958;0.8255119215536961
3.0;0.9558266193153389;0.955413838021256
2.5;0.9747203798313853;0.9773311028214957
4.0;0.96332093254695;0.9626274126692965
3.5;0.8983297771030422;0.8774351353915651
2.5;0.7071154667480682;0.6956536209910077
2.5;0.9512572712254911;0.9431776156497843
5.0;0.9698872030400485;0.9646968706712995
4.25;0.9544780277020591;0.9540480956255883
2.5;0.8823825604606639;0.8839252528272928
2.95;0.949070702551111;0.9495986068786222
3.0;0.9570565667370273;0.9569209365928358
3.45;0.9492768945421912;0.9488091706305706
2.5;0.9448173175494926;0.9404253004091097
0.5;0.842735922470947;0.8272835838058139
4.5;0.8521996019410527;0.855171282701443
2.0;0.6859189358477958;0.6520196009541845
2.0;0.8107796425397036;0.7996807907417649
3.5;0.9915446478924496;0.9909031183241813
3.5;0.9560980755671876;0.9522399068703423
4.0;0.9713483086494373;0.9693833337931823
3.5;0.9729666672691162;0.9697295522280657
4.0;0.9740207510049497;0.9675094509366494
2.5;0.825066079060678;0.8095278434075406
3.0;0.9284590309871524;0.9185947088105495
3.0;0.8720802429321293;0.8699373801081078
3.0;0.8153463897436336;0.8128097822961811
1.0;0.6600653722710962;0.5226850922233256
2.0;0.8770707396461495;0.844844347261679
2.0;0.7795017861612721;0.7828910576620711
4.5;0.9821252715419503;0.9809088113089149
4.0;NaN;NaN
3.0;0.9820703553125943;0.9755448857915227
3.0;0.9638060399556088;0.9635709931052974
4.15;0.9155341430646625;0.9301084934043298
2.5;0.8524085686958358;0.8420923755260102
3.5;0.909807660663695;0.9077006255438922
4.0;0.8337497451898368;0.825991832178922
5.0;0.9497866725158136;0.9318204606457748
4.8;0.9941935424802207;0.9940483916471968
0.0;0.35276513557944433;0.33932892520724284
4.6;0.9540009176219741;0.9472670442332952
3.0;0.8495728715454692;0.8382740377823897
2.7;0.8713855733079727;0.8702039401555899
3.6;0.9759438540125569;0.972150445841499
3.75;0.971277278081678;0.9704000760538641
3.65;0.8936546255970671;0.9000562951002038
0.0;0.7418131032890136;0.667838217268214
3.0;0.9035233691679367;0.8984599885524975
4.75;0.9216299852337854;0.9115105561286742
3.6;0.9931532159484725;0.9882987397943689
3.5;0.958527746993389;0.9576338798414052
2.75;0.9101602327512859;0.9097692536017684
5.0;0.9451980895096991;0.9108967316759713
4.0;0.8736844092106864;0.8737309054764064
3.0;0.7793186367953376;0.8335943768445816
3.5;0.9117158513238411;0.9004138516461511
3.35;0.9461201195183739;0.9441117490717295
3.2;0.9182714325086344;0.8488523623401775
3.6;0.879135416176124;0.8731792403611237
3.75;0.9294008693977974;0.934267279686266
4.0;0.9864797821291016;0.9848745343894153
3.75;0.9566250778125984;0.9535182244401117
3.5;0.9702030451712871;0.9687294386457765
3.5;0.9549483453053172;0.9251326832251087
