Human;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-ctakes;UBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-ctakes;UBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-ctakes;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-ctakes;UBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-ctakes;UBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-ctakes
4.0;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6445033866354896;0.6681531047810609;0.6445033866354896;0.6445033866354896;0.6445033866354896
3.0;0.35789020608861927;0.40683397133172255;0.40683397133172255;0.40683397133172255;0.2541521226262073;0.2988071523335984;0.2988071523335984;0.2988071523335984;0.3290177208868162;0.37713747013679955;0.37713747013679955;0.37713747013679955;0.37307746807214154;0.422254581202002;0.422254581202002;0.422254581202002;0.36483982374739526;0.4138217163390266;0.4138217163390266;0.4138217163390266
2.2;0.2820871963688101;0.28765450143864085;0.28765450143864085;0.28765450143864085;0.24535824603285925;0.2502172968684897;0.2502172968684897;0.2502172968684897;0.26014277373844097;0.2652923635132882;0.2652923635132882;0.2652923635132882;0.3013679382640484;0.30728166133365475;0.30728166133365475;0.30728166133365475;0.2820871963688101;0.28765450143864085;0.28765450143864085;0.28765450143864085
3.2;0.3963052883528782;0.45366345920114737;0.4420941425778767;0.45366345920114737;0.25503068522533534;0.3061862178478973;0.2980197803396349;0.3061862178478973;0.367883515913102;0.4242471192483741;0.41331564396133097;0.4242471192483741;0.40726367629863747;0.4649635141938074;0.4531409399333191;0.4649635141938074;0.4074549182569399;0.4649501623460054;0.45312218443032176;0.4649501623460054
3.2;0.38095238095238093;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.38095238095238093;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.38095238095238093;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.38095238095238093;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.38095238095238093;0.3903600291794133;0.3903600291794133;0.3903600291794133
3.2;0.36949876860938197;0.3521605627323637;0.3521605627323637;0.3521605627323637;0.3333333333333333;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.3454187432176019;0.32659407181350525;0.32659407181350525;0.32659407181350525;0.39620227131735053;0.38057027296802376;0.38057027296802376;0.38057027296802376;0.4283601110912508;0.41505634481097237;0.41505634481097237;0.41505634481097237
1.4;0.1942968451881004;0.20844045179326534;0.1942968451881004;0.20844045179326534;0.15191090506255;0.16317848796612636;0.15191090506255;0.16317848796612636;0.1673648079340326;0.17974800735872204;0.1673648079340326;0.17974800735872204;0.22021863121768437;0.23574436362170484;0.22021863121768437;0.23574436362170484;0.2244322708605992;0.2397331654763267;0.2244322708605992;0.2397331654763267
3.0;0.4933417067501886;0.4781121311273401;0.4781121311273401;0.4781121311273401;0.30983866769659335;0.27863910628767646;0.27863910628767646;0.27863910628767646;0.4510194323825102;0.43197109070386724;0.43197109070386724;0.43197109070386724;0.5220602038165588;0.5095940284720388;0.5095940284720388;0.5095940284720388;0.5265337213783808;0.5144835698962863;0.5144835698962863;0.5144835698962863
1.4;0.37024705206600556;0.3552486986481779;0.3552486986481779;0.3552486986481779;0.24195539543709924;0.21908902300206642;0.21908902300206642;0.21908902300206642;0.326622689336296;0.30887486729371055;0.30887486729371055;0.30887486729371055;0.3914786870413084;0.37785004303139286;0.37785004303139286;0.37785004303139286;0.43344576529205836;0.4227292675297546;0.4227292675297546;0.4227292675297546
3.0;0.3769709774433292;0.3769709774433292;0.3769709774433292;0.3769709774433292;0.2766992952647332;0.2766992952647332;0.2766992952647332;0.2766992952647332;0.3521716285828788;0.3521716285828788;0.3521716285828788;0.3521716285828788;0.38926188888709623;0.38926188888709623;0.38926188888709623;0.38926188888709623;0.39545279498351876;0.39545279498351876;0.39545279498351876;0.39545279498351876
