Human;UBSM_Metamap_AncSPLRada;UBSM_MetamapLite_AncSPLRada;UBSM_Ctakes_AncSPLRada;UBSM_Metamap_AncSPLWeightedJiangConrath;UBSM_MetamapLite_AncSPLWeightedJiangConrath;UBSM_Ctakes_AncSPLWeightedJiangConrath;UBSM_Metamap_AncSPLCosineNormWeightedJiangConrath;UBSM_MetamapLite_AncSPLCosineNormWeightedJiangConrath;UBSM_Ctakes_AncSPLCosineNormWeightedJiangConrath;UBSM_Metamap_AncSPLCaiStrategy1;UBSM_MetamapLite_AncSPLCaiStrategy1;UBSM_Ctakes_AncSPLCaiStrategy1;UBSM_Metamap_JiangConrath;UBSM_MetamapLite_JiangConrath;UBSM_Ctakes_JiangConrath;COM_WBSM_UBSM_Metamap_AncSPLWeightedJiangConrath;COM_WBSM_UBSM_MetamapLite_AncSPLWeightedJiangConrath;COM_WBSM_UBSM_Ctakes_AncSPLWeightedJiangConrath
4.0;0.5892556509887895;0.4714045207910316;0.5892556509887895;0.674112899993812;0.4714045207910316;0.5892556509887895;0.6277926893247241;0.4714045207910316;0.5892556509887895;0.7493003026811387;0.4714045207910316;0.5892556509887895;0.7597634297790806;0.4714045207910316;0.5892556509887895;0.5411805952288374;0.4398264056274473;0.49875197072632627
3.0;0.22256595362986284;0.19134594929397594;0.3118047822311618;0.3517312759120962;0.35240121135210783;0.4692709839449546;0.2897814959658688;0.2982103854657351;0.4272604395791021;0.4409099034965915;0.37465051055795856;0.4973119713226866;0.502754574390582;0.3836242119387043;0.4905848063877402;0.3438498481823713;0.34418481590237715;0.4026197021988005
2.2;0.0668153104781061;0.1143323900950059;0.1143323900950059;0.3059969846544722;0.1995788080154633;0.16667559650371475;0.1900699783453657;0.1593560747071507;0.13512166841490186;0.38624898617544695;0.23022304736956;0.19499383467782774;0.48987640505355384;0.24952456339866447;0.16667559650371475;0.20863998073470183;0.15543089241519736;0.13897928665932308
3.2;0.27386127875258304;0.29104275004359953;0.28284271247461906;0.6455217152898943;0.4680040557395706;0.48484985666662184;0.5339593736229152;0.4373289225968969;0.44536870593552635;0.706036045343512;0.4874361749225468;0.5010184399440081;0.7685532979122821;0.4935411817694304;0.500664459151307;0.49030242096162535;0.4015435911864635;0.4099664916499891
3.2;0.3464101615137754;0.3535533905932738;0.3535533905932738;0.6789852636349574;0.3685497949721166;0.3535533905932738;0.5899792995796225;0.3560073735353004;0.3535533905932738;0.7112094209836954;0.3980449906916509;0.3535533905932738;0.7311741993273408;0.3685497949721166;0.3535533905932738;0.5109912169599875;0.3557734826285671;0.34827528043914574
3.2;0.30316953129541624;0.27820744203732856;0.27820744203732856;0.5778583359489774;0.3674128475638487;0.3325934698076991;0.47366199191159364;0.3218250246420078;0.2962526161103294;0.6547928187320975;0.4270345836342333;0.373389198186638;0.6921431180140549;0.4278811148911189;0.3961632711647538;0.42803288899315295;0.3228101448005886;0.30540045592251386
1.4;0.22188007849009164;0.08084520834544433;0.08084520834544433;0.4593136485454132;0.18547189583514953;0.14910640289308222;0.36574147821079867;0.11704121961487425;0.10564628638814307;0.5476541186636077;0.27728813881138076;0.21169636709190517;0.5859592027901375;0.31768226775422465;0.18530743948980477;0.26466382637340685;0.12774295001827501;0.10956020354724136
3.0;0.0;0.17149858514250882;0.242535625036333;0.47521847025680763;0.3669106013712666;0.5515544881297086;0.3300212796041416;0.3102170659815399;0.4769168389754013;0.5442066814171348;0.40044308715756166;0.617136902593336;0.49496134337586256;0.4587577675559528;0.6240053827279073;0.3588770476465703;0.3047231132037998;0.3970450565830208
1.4;0.12126781251816648;0.15811388300841897;0.10526315789473682;0.5155165000079908;0.24305184253993614;0.3041869876036364;0.40655703269522486;0.20446792015994286;0.23636292294581565;0.5738543561795254;0.2802266138297196;0.337018388316925;0.6431242461415273;0.3204318262930425;0.4010705568144359;0.36685116265623485;0.23061883392220756;0.26118640645405766
3.0;0.19611613513818407;0.12104550653376049;0.17739371879672478;0.4324265837288634;0.2042628869973147;0.3303232055002927;0.3237914972965745;0.15938223518223668;0.29287578603161907;0.5018233483955347;0.239246935776489;0.3487822025998017;0.5987302104918293;0.2452256006850726;0.35819697619955765;0.3276689343795023;0.21358708601372794;0.2766172452652169
