Human;UBSM_AncSPLWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-biosses_ner-metamapsnomedct;UBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-biosses_ner-metamapsnomedct;UBSM_AncSPLCosineNormWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-biosses_ner-metamapsnomedct;UBSM_AncSPLCaiStrategy1_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-biosses_ner-metamapsnomedct;UBSM_JiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nltk2018stopwords_cf-biosses_ner-metamapsnomedct
4.0;0.6767026852362942;0.5892556509887895;0.6330537681834768;0.748719896132221;0.7589972762316182
3.0;0.36273021731416283;0.22256595362986284;0.29512701634477817;0.44508563524989553;0.521918309892349
2.2;0.30472567153311203;0.0668153104781061;0.1886738975941391;0.4049459037134817;0.5124225273848193
3.2;0.647618716223298;0.27386127875258304;0.5365540279672363;0.7055312966777189;0.7684152822944118
3.2;0.6739883389647355;0.3464101615137754;0.5844119112887292;0.7089323626321092;0.7263731963948218
3.2;0.5892399466321828;0.30316953129541624;0.4896771379543331;0.6586576089301373;0.6953647995740025
1.4;0.42754600890685607;0.15496776884521196;0.3182780769128421;0.5306523362631967;0.5651737413887707
3.0;0.46730055064346193;0.0;0.320172402503477;0.5289685679655963;0.467300550643462
1.4;0.5141538926872185;0.12126781251816648;0.40590219485926965;0.5637098933802194;0.6442140943218925
3.0;0.43350925979753513;0.19611613513818407;0.32500241481966036;0.5026570749271967;0.5986794307565897
3.0;0.3641709900613717;0.1421338109037403;0.26940345954022926;0.4499124768041593;0.505493819394586
1.0;0.0;0.0;0.0;0.0;0.0
3.0;0.3934359550282952;0.33333333333333337;0.3475345383154955;0.46430766496474535;0.5966799466540387
2.0;0.3640864068806134;0.22256595362986284;0.2738506329677136;0.530554963702864;0.6113386235944482
2.4;0.4840898410220749;0.3892494720807615;0.43339477145154287;0.5263502960249938;0.5564312993092866
3.4;0.2815664722198392;0.16012815380508716;0.20855512014078767;0.39722963022174723;0.4562391838090112
3.0;0.5675497345676493;0.2004459314343183;0.4439905237263906;0.6357348419263563;0.6823670492067655
2.0;0.17539106194627632;0.08362420100070908;0.10902405789923578;0.3164033405170717;0.4148522560528066
3.2;0.30521958825877504;0.18490006540840973;0.22216511310889395;0.4709845969741079;0.5802631793950959
2.0;0.5879136145827076;0.10050378152592121;0.4876443547412092;0.6793227036382772;0.7564551714706997
3.0;0.46207333297841974;0.35355339059327373;0.4238498541566146;0.4771411716041023;0.5744432008528114
1.2;0.16656836182794824;0.0;0.07732268046211421;0.27466017785267716;0.39984071867662496
3.4;0.5315940765173625;0.4114755998989118;0.47486296676092554;0.6036586597448955;0.644125446633712
1.8;0.160428290685056;0.07106690545187015;0.10458444389866332;0.22885666960832118;0.29077559551879156
