Human;bioconceptvec_fasttext__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;bioconceptvec_fasttext__tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none_Min
4.0;0.9542521322382311;0.9190884477266906
3.0;0.9923328272462616;0.9923328272462626
2.2;0.9875508598212593;0.9867889498076504
3.2;0.9887091950236073;0.9864717909334678
3.2;0.9991580653891982;0.9965299877353763
3.2;0.9640506284665843;0.9694690507890654
1.4;0.9507856425579655;0.9623193016245125
3.0;0.993438793766291;0.9925151298981504
1.4;0.9898092706006656;0.9846840435046228
3.0;0.8406354987748607;0.8406354987748612
3.0;0.9945912903653307;0.9945225435399253
1.0;0.9901264874846736;0.9902243146864375
3.0;0.9658430054902561;0.9663658873011263
2.0;0.9451875871748647;0.9926817818110046
2.4;0.9795471024915349;0.9832006443613346
3.4;0.9495005146672607;0.9945907674018201
3.0;0.9987037064430555;0.995050120436745
2.0;0.9742276111212518;0.9928569318428478
3.2;0.9799371777969638;0.9855214553997382
2.0;0.9442575434876072;0.9314841310423154
3.0;0.9811086906623877;0.9806034389109421
1.2;0.982182526628869;0.9802653164793433
3.4;0.9852551864950313;0.983914555447887
1.8;0.9773810298631217;0.9947976176857758
3.6;0.9942239253146582;0.994179177379497
2.0;0.9777541225188386;0.976122054700895
2.4;0.9746934652812441;0.9703456680473967
3.4;0.9809554469070028;0.9872645412452916
3.0;0.9910100995654282;0.986274606742755
4.0;0.9957667261608479;0.9891300504281477
4.0;0.9930352720388118;0.9907941454954743
3.4;0.9519280384432622;0.9062782520209179
3.4;0.9316095737234171;0.9919963016632505
3.0;0.970735744699593;0.9780765783026312
2.0;0.9800568520934746;0.9900676909403796
3.8;0.994446973997099;0.9936890241445454
3.4;0.9976785980932019;0.9961854983573992
2.0;0.9914583968248425;0.9879909343745676
4.0;0.9924475148726903;0.999425306830274
3.2;0.9870643905518134;0.9752715480309603
2.2;0.9181442869969256;0.9716937720202844
3.0;0.9886327950311748;0.992983908877191
2.0;0.9675712671537262;0.9684715938540842
0.6;0.9810639243943625;0.9833153559958149
3.2;0.9798493714361923;0.9816646092845055
3.6;0.9970519123536692;0.9965473833308994
1.0;0.9872580151708024;0.987399920356327
1.8;0.8031650535431678;0.7194255913204217
2.8;0.9918378487804981;0.9918242576990305
2.8;0.991402102847692;0.9942613386890239
1.8;0.9734499648922537;0.995455926034925
1.8;0.9644146690235905;0.9806611114892089
2.6;0.8847594796216585;0.9761871206177575
1.4;0.9923737402615515;0.9928279193167429
3.0;0.9954583728350642;0.9869662216966798
0.6;0.9817707460501635;0.9638344750550412
1.8;0.8774871659133351;0.9905057410622617
3.0;0.9957800995043481;0.9957221853104647
3.0;0.9811606364960233;0.9734208196566159
3.8;0.9984576166594116;0.9825060102643755
2.4;0.9305471761134309;0.9727420917484859
3.6;0.913820229456804;0.9918976039540616
2.8;0.9241488717543221;0.9914102452874944
3.6;0.995828549147661;0.9950455512952351
3.0;0.9947326028966392;0.9968039319790549
0.0;0.9726225023375781;0.989896923243448
0.0;0.9795577116647065;0.9892917034018219
0.2;0.8932839374692104;0.8932839374692105
0.0;0.9596185695879891;0.9905420299941701
0.2;0.9789359996299825;0.9899747568589277
0.2;0.952639206683618;0.9744635418762012
1.8;0.970290199644024;0.9654643690668635
1.4;0.9614885591316471;0.9871124879736493
1.8;0.9883526203033133;0.9918358366190387
2.0;0.990162171221768;0.9952629529690992
0.0;0.9459619105045384;0.9763934655072135
0.8;0.9302080352220385;0.9297649620331835
2.2;0.9652190808142586;0.9881169351729007
1.4;0.9746246592353619;0.973910493914304
1.8;0.9898466626155935;0.9898613658664409
3.0;0.996205860822425;0.9986797159470312
1.2;0.9734917115487258;0.9977655283357116
0.2;0.9636086314689704;0.9752862019051102
0.2;0.9713287455275487;0.9868846985092345
0.6;0.9872699098145954;0.9942923766178053
0.2;0.9493240514077199;0.9706967363996596
0.2;0.9835285670619305;0.9802481647923541
0.0;0.9793958866693274;0.9884261023107556
0.2;0.9434352582095574;0.9896428946870491
0.2;0.9490811973471465;0.9932445928818053
2.0;0.9815522502067754;0.9816073199903441
2.8;0.968085589494985;0.9791487007576053
2.0;0.9605970213440695;0.9494319662186598
4.0;0.990603942440153;0.9878234908856813
3.0;0.9842717940464992;0.9829408024184171
3.2;0.9405522265257679;0.8957928918324096
1.6;0.8881117075623387;0.9923422265642537
2.4;0.9980790165855561;0.9962591490797397
3.2;0.984245725773017;0.9985577995101373
1.8;0.9480769537938665;0.9751258163429906
