Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Min;bio_embedding_intrinsic__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Min;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nltk2018stopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-biosses2017stopwords_cf-default_ner-none_Min;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min
4.0;0.9476392360103362;0.9476392360103362;0.9540516807724835;0.877555700944839;0.877555700944839;0.9328467158490927
3.0;0.9321362006621193;0.9321362006621193;0.9388085994412171;0.9257444648271822;0.9257444648271822;0.9402006050190665
2.2;0.9390437212084021;0.9390437212084021;0.9417681930551974;0.9274595864899897;0.9274595864899897;0.9399576000456834
3.2;0.9520184063815963;0.9520555334037034;0.9545791869817334;0.9500814773425853;0.9502320678846755;0.95750128433992
3.2;0.9755115922866308;0.9755115922866308;0.9752366379972923;0.9279781146406986;0.9279781146406986;0.9353344806984158
3.2;0.9436076274860501;0.9436076274860501;0.9450991717195056;0.9279532768541038;0.9279532768541038;0.9433559230491312
1.4;0.9142877677843128;0.9142877677843128;0.9176581105240131;0.8851644026561482;0.8851644026561482;0.9054169826337484
3.0;0.9389905487957314;0.9414930783874867;0.9438945891884508;0.9331260428712532;0.9321025224313464;0.9372519525524989
1.4;0.9340159900271363;0.9340159900271363;0.9353255389330837;0.9434903551075775;0.9434903551075775;0.9487656373532369
3.0;0.9542616539122738;0.9542616539122738;0.9565587528245368;0.9416336164794623;0.9416336164794623;0.9511236224695682
3.0;0.9492265340539712;0.9501037907865674;0.9520346822327662;0.9436856456097288;0.9444180750358052;0.957720262978102
1.0;0.8886446069143183;0.8886446069143183;0.8997857015846417;0.8722688490032793;0.8722688490032793;0.8971093104466203
3.0;0.94852691052918;0.94852691052918;0.9564469610022266;0.8533317767779333;0.8533317767779333;0.9077411517012058
2.0;0.9418636157608541;0.9405217531843539;0.9431135004622601;0.9309520081223331;0.9330384210931977;0.9427251486986433
2.4;0.9584722089669043;0.9584722089669043;0.9638365848965198;0.9131666807785372;0.9131666807785372;0.9404040003469246
3.4;0.936229283200538;0.936229283200538;0.9397415027591727;0.9369240934810151;0.9369240934810151;0.9456846571813544
3.0;0.9493908628794013;0.9493908628794013;0.9497456829673713;0.9415773432088095;0.9415773432088095;0.9481583985438519
2.0;0.911844129875196;0.911844129875196;0.9188019267155579;0.9033985404210452;0.9033985404210452;0.9309009188890429
3.2;0.9512359459488652;0.9512359459488652;0.9575780786076067;0.9212561378991554;0.9212561378991554;0.9418962254982173
2.0;0.9437347605642119;0.9437347605642119;0.9504718067990405;0.9316705367484286;0.9316705367484286;0.9496323489335706
3.0;0.8591168993514703;0.8591168993514703;0.8821502860367079;0.8806828767858603;0.8806828767858603;0.9193900032672855
1.2;0.8995612280734876;0.8995612280734876;0.9067745521010725;0.8517348657993629;0.8517348657993629;0.8917316878317534
3.4;0.911370447108004;0.911370447108004;0.9131468023949998;0.922206299964955;0.922206299964955;0.9299152322624875
1.8;0.907402566594761;0.907402566594761;0.9131122701708109;0.9059338243888447;0.9059338243888447;0.9211830466898314
3.6;0.8903741364606291;0.8903741364606291;0.9105920095387834;0.8315493346398628;0.8315493346398628;0.87374531183608
2.0;0.9218214889112677;0.9218214889112677;0.9276498462733077;0.8887146060072095;0.8887146060072095;0.9195726073977877
2.4;0.8890191854715992;0.8890191854715992;0.900110292850306;0.9123122870248263;0.9123122870248263;0.9355598816463608
3.4;0.9322117639301464;0.9322117639301464;0.941230797896914;0.8067918891388349;0.8067918891388349;0.8831853191717478
3.0;0.9574684328704172;0.9574684328704172;0.9586757342051558;0.9337672805916594;0.9337672805916594;0.9407878178842307
4.0;0.9631633710306229;0.9623677418115028;0.9657501223036651;0.9145079017043343;0.9128986314588257;0.920517398514854
4.0;0.9817963382077791;0.9817963382077791;0.9800896555073749;0.926148708715551;0.926148708715551;0.9305544081866084
3.4;0.9663491348670167;0.9663491348670167;0.9716541605960917;0.9031320169914454;0.9031320169914454;0.9205679065339859
3.4;0.9634918097992325;0.9634918097992325;0.9696072582707983;0.8769932478050638;0.8769932478050638;0.9126867896227335
3.0;0.8823734262776592;0.8823734262776592;0.8902535732681097;0.8275285328601102;0.8275285328601102;0.8708698721871685
2.0;0.8931952163136904;0.8931952163136904;0.9211754391384317;0.8517043566038381;0.8517043566038381;0.8795411996533485
3.8;0.9699021380061131;0.97125701424184;0.9750029081298452;0.9292966239386933;0.9339839523957022;0.9540691552974251
3.4;0.9520233835954696;0.9512500827690922;0.9557065593795429;0.9105810587906678;0.9075780363791214;0.9302209149331789
2.0;0.9117202620249926;0.9117202620249926;0.9244213339274127;0.809563406687625;0.809563406687625;0.863830220778341
4.0;0.9401268543270905;0.9401268543270905;0.9457248027006623;0.9108679818485775;0.9108679818485775;0.9302823157220602
3.2;0.9524818568672834;0.9524818568672834;0.9537470779121018;0.9497547028237179;0.9497547028237179;0.9537267635378363
2.2;0.8982267120528498;0.8982267120528498;0.9007616644140406;0.8212329660918681;0.8212329660918681;0.8772991546166757
3.0;0.9258831164236434;0.9258831164236434;0.930675025874074;0.9469921261298312;0.9469921261298312;0.955198497235723
2.0;0.9074028757673223;0.9074028757673223;0.9090836489281727;0.9293529964243238;0.9293529964243238;0.9404925883440745
0.6;0.9183605708340259;0.9183605708340259;0.9218987191388057;0.9346753464801455;0.9346753464801455;0.9468951220711512
3.2;0.9422501853356828;0.9422501853356828;0.943498706032767;0.897069787261877;0.897069787261877;0.9063505930584105
3.6;0.9448587588236558;0.9448587588236558;0.9569938995564057;0.9030439741940174;0.9030439741940174;0.9402383585793508
