Human;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_WuPalmerFast_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_WuPalmerFast_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_WuPalmerFast_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_Lin_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_Lin_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_Lin_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none
3.5;0.9309493362512627;0.9309493362512627;0.9074852129730302;0.9309493362512627;0.9309493362512627;0.9074852129730302;0.9309493362512627;0.9309493362512627;0.9074852129730302;0.9309493362512627;0.9309493362512627;0.9074852129730302;0.9309493362512627;0.9309493362512627;0.9074852129730302;0.9309493362512627;0.9309493362512627;0.9074852129730302
2.5;0.7814626123529511;0.7814626123529511;0.7814626123529511;0.5879747322073337;0.5879747322073337;0.5879747322073337;0.7211174857632355;0.7211174857632355;0.7211174857632355;0.8128668433623838;0.8128668433623838;0.8128668433623838;0.748023398280076;0.748023398280076;0.748023398280076;0.8107423767590137;0.8107423767590137;0.8107423767590137
3.45;0.914256228850836;0.914256228850836;0.914256228850836;0.6521235987467637;0.6521235987467637;0.6521235987467637;0.8533377436519188;0.8533377436519188;0.8533377436519188;0.9339038967071988;0.9339038967071988;0.9339038967071988;0.8947115166358688;0.8947115166358688;0.8947115166358688;0.9369900369657495;0.9369900369657495;0.9369900369657495
4.0;0.9040884376290146;0.9040884376290146;0.9040884376290146;0.8602680757063524;0.8602680757063524;0.8602680757063524;0.8976249474485481;0.8976249474485481;0.8976249474485481;0.9058634948728778;0.9058634948728778;0.9058634948728778;0.900736090302687;0.900736090302687;0.900736090302687;0.9054292969971649;0.9054292969971649;0.9054292969971649
3.0;0.672951580898707;0.672951580898707;0.7385614922847837;0.3464101615137754;0.3464101615137754;0.3858858409442041;0.5759064296468133;0.5759064296468133;0.664860528580522;0.7239582330144289;0.7239582330144289;0.7688528426736825;0.6334550956195165;0.6334550956195165;0.7045684850389976;0.7094045491764537;0.7094045491764537;0.7639437522931749
2.0;0.6615492784982775;0.6615492784982775;0.6615492784982775;0.45454545454545453;0.45454545454545453;0.45454545454545453;0.60541744370149;0.60541744370149;0.60541744370149;0.6890279440049429;0.6890279440049429;0.6890279440049429;0.6288799707334239;0.6288799707334239;0.6288799707334239;0.6820131707777021;0.6820131707777021;0.6820131707777021
2.5;0.8055773507032205;0.8055773507032205;0.8122662656318292;0.7046717400805453;0.7046717400805453;0.7046717400805453;0.7813354327302141;0.7813354327302141;0.7850249289401872;0.8216000395022635;0.8216000395022635;0.831700780336404;0.7956234877000097;0.7956234877000097;0.8005136442525391;0.812919233154003;0.812919233154003;0.8210441795767669
3.0;0.7611097068603043;0.7611097068603043;0.7611097068603043;0.5400617248673217;0.5400617248673217;0.5400617248673217;0.6926281040802493;0.6926281040802493;0.6926281040802493;0.7911513901882375;0.7911513901882375;0.7911513901882375;0.7346390777619686;0.7346390777619686;0.7346390777619686;0.7907532020154341;0.7907532020154341;0.7907532020154341
0.0;0.5172050779382256;0.5172050779382256;0.5172050779382256;0.24343224778007383;0.24343224778007383;0.24343224778007383;0.3975617236093394;0.3975617236093394;0.3975617236093394;0.5705198130325632;0.5705198130325632;0.5705198130325632;0.4224131118775629;0.4224131118775629;0.4224131118775629;0.5819275199906273;0.5819275199906273;0.5819275199906273
2.5;0.7837505916918813;0.7837505916918813;0.7837505916918813;0.5222329678670935;0.5222329678670935;0.5222329678670935;0.697375788836256;0.697375788836256;0.697375788836256;0.8100311632578449;0.8100311632578449;0.8100311632578449;0.7341627633265535;0.7341627633265535;0.7341627633265535;0.8298414597622148;0.8298414597622148;0.8298414597622148
