Human;bio_embedding_intrinsic__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average;bio_embedding_intrinsic__tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average;BioNLP2016_PubMed-shuffle-win-2__tok-whitespace_notlc_sw-nonestopwords_cf-default_ner-none_Average
3.5;0.995725965368544;0.9882824853289627;0.9879296188966564;0.9890739828871168
2.5;0.971883201536337;0.9582315836862157;0.9545715003086238;0.9481382894858409
3.45;0.9880742074963252;0.9848319779975314;0.9648965523946291;0.9656605977215073
4.0;0.9936996743028526;0.9935358466957771;0.9886954640648971;0.9887930378701125
3.0;0.9635901374614008;0.961865267773661;0.9277580088737996;0.9211325646515462
2.0;0.9411895707742258;0.9365920109209599;0.8959072442408512;0.895965101800222
2.5;0.9880535101533444;0.9875751098673754;0.9792770495671917;0.9792412797308097
3.0;0.9577274333728417;0.9453152795155717;0.9255261500610087;0.9239151254314882
0.0;0.9408406150148314;0.9363605648291871;0.8737615513685929;0.8594437616981998
2.5;0.8887442335606246;0.842706387926522;0.8826099316533016;0.8750505300803766
3.0;0.9899131242075355;0.9902168957840547;0.9865953863380745;0.9805779627875528
0.5;0.9510627798984036;0.9460484927930669;0.8913106400229598;0.8913019666133467
3.0;0.9784233687014776;0.9772102987336554;0.9602126365667008;0.9601091957430523
4.1;0.9921533433679197;0.9914731895335998;0.986747108878154;0.9867622896551044
3.5;0.9868410135594925;0.985184487626558;0.9618092018746386;0.9523084145455187
4.0;0.9968998811119328;0.9971225531113005;0.9944614589241942;0.9941650986677159
2.5;0.979135845611503;0.966564951677511;0.9617335436293215;0.9605660095507067
4.0;0.9979396119944773;0.9954373501378002;0.9941874467776839;0.9928686769922069
4.0;0.9945043680813141;0.9921465112315768;0.9881713234191113;0.9861158968008918
4.1;0.9916354051054882;0.9903919335302874;0.9775816462111945;0.9778923018731164
4.0;0.9811594855397271;0.9871148534927267;0.9682513290802289;0.9764797475647903
3.0;0.9929146555804703;0.9928692175624929;0.9847016583126441;0.9831378000043629
4.0;0.9862116460222015;0.9863631946576015;0.9770715482978352;0.9541992689734157
3.0;0.9621476729039787;0.9485748391357718;0.9567364357782132;0.9536595033969106
4.5;0.9971966118014156;0.9971195539677761;0.9950571072493066;0.9950528372490434
3.5;0.9766221198511822;0.9727163019551874;0.9619183524839082;0.9620125853789228
3.5;0.9519028923951977;0.9537241659904875;0.8946260136644436;0.8946225489982651
3.0;0.9925716084863054;0.9939589044406595;0.9819173772558413;0.9792249895725663
3.5;0.9971420879094169;0.9966803528381523;0.9951351976674719;0.993777150100998
4.0;0.9994360353940527;0.9994764677341132;0.9990752592883141;0.9988992708309156
4.0;0.9991056439348135;0.9977554841157367;0.9984725630028468;0.998564500357403
4.0;0.9978757738319411;0.9966809733440477;0.9930390344236377;0.9928199610591597
3.0;0.9690653742166196;0.9777982100123954;0.9503216367484982;0.9561401879793267
2.5;0.990693244448699;0.98458423228076;0.9823558011495873;0.9739118833981932
2.5;0.9809422697229162;0.9791067104366495;0.9460927951846397;0.9405779192087899
3.0;0.983776075762766;0.9796583766884266;0.9601486339327738;0.9552261533876619
0.0;0.8715283205760485;0.8612170987107158;0.7976080904361807;0.7893585414108539
4.25;0.9886325990147282;0.9879813672121759;0.9804967159974641;0.980839357618915
3.0;0.9558121518540674;0.9456132950665129;0.9353900195576095;0.9349307072165559
3.0;0.9597153620581851;0.953247722358866;0.9306654896102888;0.9297712193871678
4.0;0.9720423382730362;0.9760207082570568;0.9406367527596673;0.9390892132456967
0.0;0.9441427545649738;0.9415100329865935;0.8849995397485537;0.8728169764924245
3.5;0.9812734501819311;0.980221795091078;0.9657051579937702;0.9590605269603122
1.0;0.9463465840463765;0.9675612052154657;0.9067163434930033;0.8741198677902817
0.0;0.9219749896399946;0.9091582140372154;0.8728043926349256;0.8680560328119087
1.5;0.952776054386106;0.9474714680230804;0.9256470412738658;0.9220437710453506
3.6;0.9808128802513485;0.97868665673002;0.9610089306678227;0.9609211547005503
3.0;0.9832244932549674;0.9760324502295545;0.9664723672433551;0.9715943719262784
3.0;0.9819517378496871;0.9771999694795658;0.9678371100163765;0.9644670114658604
5.0;0.9937234398386682;0.9927020791250926;0.9893741924943501;0.9892460107533401
3.5;0.9703401078801649;0.9707070254563572;0.9349345031043865;0.928762971479624
0.0;0.9326483311142234;0.9246372372945764;0.8543410763640863;0.8554522123890183
4.0;0.9644010926925298;0.9984178865733258;0.9430427929440859;0.9262772653106799
4.5;0.9952907742478273;0.9891823039629715;0.991250584305151;0.9861196169415447
3.0;0.9904174966892074;0.9832479499345022;0.9812120585292173;0.9774389689643712
3.5;0.9925343827967962;0.9921340633539733;0.9791340554462026;0.978675362496871
4.0;0.9928302629577888;0.9890635089607267;0.9882536949967317;0.9863253058173733
3.0;0.9816183537646749;0.9730218830173346;0.9733396171711561;0.9728253433353812
3.0;0.9742444059465286;0.9727934306311731;0.9529739090584343;0.952870496235743
3.5;0.9769847182111787;0.9741087728623691;0.956756044503968;0.9569124557135283
