Human;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Sum;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Sum;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-user_cf-default_ner-none_Sum
3.5;0.9975556012286875;0.9934795321557469;0.9952363085841195;0.9934795321557469;0.9975556012286875;0.9934795321557469;0.9952363085841195;0.9934795321557469;0.9982663625434357;0.9950485251480893;0.9952568434763459;0.9950485251480893
2.5;0.9630542224788108;0.9709956852807671;0.9761839879755215;0.9709956852807671;0.9630542224788108;0.9709956852807671;0.9761839879755215;0.9709956852807671;0.9632750837628942;0.9674034213526823;0.9766879317468564;0.9674034213526823
3.45;0.9679866471127387;0.9754990860424549;0.9800707942406393;0.9754990860424549;0.9679866471127387;0.9754990860424549;0.9800707942406393;0.9754990860424549;0.968028463524189;0.9855632325658155;0.9804669443016084;0.9855632325658155
4.0;0.9910114012765303;0.9872540448015207;0.9864911973826962;0.9872540448015207;0.9910114012765303;0.9872540448015207;0.9864911973826962;0.9872540448015207;0.9910552381226901;0.9921486384104228;0.9868089483215665;0.9921486384104228
3.0;0.9612584867829602;0.9197462032794537;0.9487699167966783;0.9197462032794537;0.9612584867829602;0.9197462032794537;0.9487699167966783;0.9197462032794537;0.9667693390105521;0.9594017268913076;0.9545600666172228;0.9594017268913076
2.0;0.9450418175211289;0.8943829432630603;0.9451477159175572;0.8943829432630603;0.9450418175211289;0.8943829432630603;0.9451477159175572;0.8943829432630603;0.9443568940514275;0.9295641180833997;0.9480263724002981;0.9295641180833997
2.5;0.9755327742664119;0.9718064749911444;0.9684967183117176;0.9718064749911444;0.9755327742664119;0.9718064749911444;0.9684967183117176;0.9718064749911444;0.9782221086805672;0.9857907978114796;0.9713707228901027;0.9857907978114796
3.0;0.9405250096048222;0.950010647077401;0.9581993175290441;0.950010647077401;0.9405250096048222;0.950010647077401;0.9581993175290441;0.950010647077401;0.9407741959472259;0.9539633954734867;0.9588996984831041;0.9539633954734867
0.0;0.8569264719667476;0.7518361468834928;0.8801745538274766;0.7518361468834928;0.8569264719667476;0.7518361468834928;0.8801745538274766;0.7518361468834928;0.8671767317024293;0.9166389413076609;0.8876494327199204;0.9166389413076609
2.5;0.949028749690761;0.8804170189690401;0.9416794291925188;0.8804170189690401;0.949028749690761;0.8804170189690401;0.9416794291925188;0.8804170189690401;0.9493107001758899;0.8914827480689018;0.941915670216109;0.8914827480689018
3.0;0.9779727116347888;0.9797332188059428;0.9736066307324517;0.9797332188059428;0.9779727116347888;0.9797332188059428;0.9736066307324517;0.9797332188059428;0.9792640063898098;0.9886734919318275;0.9762257666170889;0.9886734919318275
0.5;0.8687429610411538;0.8105386256271913;0.8794547377784252;0.8105386256271913;0.8687429610411538;0.8105386256271913;0.8794547377784252;0.8105386256271913;0.888445367420678;0.9431873827408463;0.8956493809643838;0.9431873827408463
3.0;0.9595875728181147;0.9492027007282149;0.9611374362458308;0.9492027007282149;0.9595875728181147;0.9492027007282149;0.9611374362458308;0.9492027007282149;0.9637400678478201;0.9726360774339984;0.9669754717905729;0.9726360774339984
4.1;0.9705683061560343;0.9777322401566632;0.9773849311868595;0.9777322401566632;0.9705683061560343;0.9777322401566632;0.9773849311868595;0.9777322401566632;0.9677753836914129;0.9867688566280276;0.973983551549934;0.9867688566280276
3.5;0.9747372057424774;0.9783041731585249;0.977942447420055;0.9783041731585249;0.9747372057424774;0.9783041731585249;0.977942447420055;0.9783041731585249;0.9747072254276835;0.9861474407265736;0.980578742725724;0.9861474407265736
4.0;0.990544549210659;0.9947701483386624;0.9961381171040261;0.9947701483386624;0.990544549210659;0.9947701483386624;0.9961381171040261;0.9947701483386624;0.9905487568206284;0.9958564067338949;0.9964148543701249;0.9958564067338949
2.5;0.9723945803370635;0.9628897357437424;0.9786072725055469;0.9628897357437424;0.9723945803370635;0.9628897357437424;0.9786072725055469;0.9628897357437424;0.9726610312676128;0.9758977080124472;0.9782326201062379;0.9758977080124472
