Human;PubMed-and-PMC-w2v__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;PubMed-and-PMC-w2v__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Min;PubMed-and-PMC-w2v__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Min
3.5;0.9958258144992149;0.9958258144992149;0.997456130206807
2.5;0.9692391430856552;0.9692391430856552;0.9692391430856552
3.45;0.9555617674991732;0.9555617674991732;0.9555617674991732
4.0;0.9919690989224645;0.9919690989224645;0.9926364375784088
3.0;0.9603970279697667;0.9603970279697667;0.9531980448871806
2.0;0.9457990551021986;0.9457990551021986;0.9457990551021986
2.5;0.9804554019831421;0.9804554019831421;0.9820566696868527
3.0;0.9179002466422489;0.9179002466422489;0.9179002466422489
0.0;0.8702729975129396;0.8702729975129396;0.8702729975129396
2.5;0.9320134342569152;0.9320134342569152;0.9320134342569152
3.0;0.9918038304380559;0.9918038304380559;0.9918038304380559
0.5;0.8876938811118709;0.884532185789069;0.884532185789069
3.0;0.9729901382593422;0.9729901382593422;0.9603990863255574
4.1;0.977688837571635;0.977688837571635;0.977688837571635
3.5;0.968672011435322;0.968672011435322;0.968672011435322
4.0;0.9964640272518183;0.9964640272518183;0.9964640272518183
2.5;0.9814899948070489;0.9994294966456302;0.9797515241188117
4.0;0.9964527382759013;0.9964527382759013;0.9960277856346392
4.0;0.9801500414559956;0.9801500414559956;0.9796898727294
4.1;0.9674055007942299;0.9674055007942299;0.9674055007942299
4.0;0.9855281180773969;0.9855281180773969;0.9855281180773969
3.0;0.9840140729887782;0.9840140729887782;0.9834731455029396
4.0;0.9760709359396978;0.9760709359396978;0.9760709359396978
3.0;0.9672766599515713;0.9672766599515713;0.9672766599515713
4.5;0.9952414955248827;0.9944363538419111;0.9944363538419111
3.5;0.9611008656434946;0.9783362627786798;0.9783362627786798
3.5;0.8683935113214027;0.8683935113214027;0.8683935113214027
3.0;0.9856175243051069;0.9856175243051069;0.986098595093347
3.5;0.9926859774353983;0.9926859774353983;0.9926859774353983
4.0;0.9986176430725285;0.9986176430725285;0.9986957815365224
4.0;0.9954652849604226;0.9954652849604226;0.994698419164045
4.0;0.9986525886020611;0.9986525886020611;0.9991801959136282
3.0;0.944346707228647;0.944346707228647;0.96179485606549
2.5;0.9787040481449334;0.9787040481449334;0.9787040481449334
2.5;0.9238198147474859;0.9238198147474859;0.9238198147474859
3.0;0.9590535239742287;0.9590535239742287;0.9590535239742287
0.0;0.8612919040487006;0.8612919040487006;0.8612919040487006
4.25;0.9749491504669663;0.9749491504669663;0.9749491504669663
3.0;0.9286820481079364;0.9286820481079364;0.9286820481079364
3.0;0.9324226419573989;0.9324226419573989;0.9317788874146729
4.0;0.9380299236475668;0.9380299236475668;0.9380299236475668
0.0;0.8807936495066774;0.8704040520843613;0.8786258381659584
3.5;0.9314835213756055;0.9314835213756055;0.9314835213756055
1.0;0.8669802402284748;0.8669802402284748;0.8669802402284748
0.0;0.8751828138599059;0.8751828138599059;0.8751828138599059
1.5;0.9535636467987921;0.9535636467987921;0.9535636467987921
3.6;0.9544646951104873;0.9544646951104873;0.9544646951104873
