Human;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;WBSM_AncSPLWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;WBSM_AncSPLRada_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;WBSM_AncSPLCosineNormWeightedJiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;WBSM_AncSPLCaiStrategy1_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none;WBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-none_ner-none;WBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-biosses_ner-none;WBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-blagec2019_ner-none;WBSM_JiangConrath_tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none
4.0;0.5834302874491829;0.5974335433637762;0.5974335433637762;0.5974335433637762;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5229763603684908;0.5505398239804109;0.5548928293141406;0.5548928293141406;0.5548928293141406;0.6052523902878405;0.6290840098705234;0.6290840098705234;0.6290840098705234;0.5834302874491829;0.5974335433637762;0.5974335433637762;0.5974335433637762
3.0;0.4288112476384554;0.4993691987434976;0.4993691987434976;0.4993691987434976;0.233086618699226;0.2694079530401624;0.2694079530401624;0.2694079530401624;0.35830140643161973;0.4236186788010019;0.4236186788010019;0.4236186788010019;0.4575845685576115;0.5292158088455226;0.5292158088455226;0.5292158088455226;0.4288112476384554;0.4993691987434976;0.4993691987434976;0.4993691987434976
2.2;0.32428065794344224;0.5328911623108353;0.5328911623108353;0.5328911623108353;0.20446520502738272;0.24535824603285925;0.24535824603285925;0.24535824603285925;0.2632625865788491;0.4657424063516116;0.4657424063516116;0.4657424063516116;0.38685901136335177;0.5563265049924945;0.5563265049924945;0.5563265049924945;0.32428065794344224;0.5328911623108353;0.5328911623108353;0.5328911623108353
3.2;0.4263470844614711;0.5370206887338157;0.5370206887338157;0.5070939293727169;0.2834733547569204;0.3506671921848361;0.3506671921848361;0.31878835653166915;0.3639510656328068;0.47435797454992645;0.47435797454992645;0.44340323558531985;0.46164706466315153;0.566562824689747;0.566562824689747;0.5373401020884387;0.4263470844614711;0.5370206887338157;0.5370206887338157;0.5070939293727169
3.2;0.5412389517933349;0.6199119830557733;0.6199119830557733;0.6048652778131046;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.3903600291794133;0.46994559207598074;0.5323959722324522;0.5323959722324522;0.5248499947319724;0.5876747952153989;0.663671518094541;0.663671518094541;0.6445379101793473;0.5412389517933349;0.6199119830557733;0.6199119830557733;0.6048652778131046
3.2;0.5082278636732188;0.5174036878093822;0.5174036878093822;0.5174036878093822;0.3076923076923077;0.31378581622109447;0.31378581622109447;0.31378581622109447;0.4508345800000513;0.45932142218711125;0.45932142218711125;0.45932142218711125;0.5308976031044181;0.5402937876294115;0.5402937876294115;0.5402937876294115;0.5082278636732188;0.5174036878093822;0.5174036878093822;0.5174036878093822
1.4;0.3776363105414386;0.4545292091067916;0.4102938782322491;0.4545292091067916;0.09805806756909202;0.14708710135363803;0.09805806756909202;0.14708710135363803;0.29134764069112984;0.3664541101550519;0.3198895473223765;0.3664541101550519;0.4136116049544852;0.48648432447850926;0.4434375305684983;0.48648432447850926;0.3776363105414386;0.4545292091067916;0.4102938782322491;0.4545292091067916
3.0;0.43933885080111423;0.4927775946425929;0.4927775946425929;0.4927775946425929;0.1709408646894569;0.2279211529192759;0.2279211529192759;0.2279211529192759;0.37306226349788185;0.4301032187266897;0.4301032187266897;0.4301032187266897;0.45993867674345806;0.5109417155702717;0.5109417155702717;0.5109417155702717;0.43933885080111423;0.4927775946425929;0.4927775946425929;0.4927775946425929
1.4;0.5528204377068485;0.6395130135778966;0.6395130135778966;0.6395130135778966;0.24919672931439146;0.29872871496452597;0.29872871496452597;0.29872871496452597;0.4610948242273414;0.5553933222960584;0.5553933222960584;0.5553933222960584;0.5860961856023006;0.6682041105701592;0.6682041105701592;0.6682041105701592;0.5528204377068484;0.6395130135778966;0.6395130135778966;0.6395130135778966
3.0;0.5651119305013491;0.5962315104589976;0.5962315104589976;0.5962315104589976;0.3038948705590345;0.3038948705590345;0.3038948705590345;0.3038948705590345;0.5062135046915063;0.5300025581940501;0.5300025581940501;0.5300025581940501;0.584832037617908;0.6179969155040335;0.6179969155040335;0.6179969155040335;0.5651119305013491;0.5962315104589977;0.5962315104589977;0.5962315104589977
