Human;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-whitespace_lc_sw-nonestopwords_cf-default_ner-none_Sum;bioc_skipgram_defaultchar__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-biocnlptokenizer_lc_sw-nonestopwords_cf-default_ner-none_Sum;bioc_skipgram_defaultchar__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Max;bioc_skipgram_defaultchar__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Average;bioc_skipgram_defaultchar__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Min;bioc_skipgram_defaultchar__tok-stanfordcorenlpv4_2_0_lc_sw-nonestopwords_cf-default_ner-none_Sum
3.5;0.9982663625434357;0.9950485251480893;0.9952568434763459;0.9950485251480893;0.9982663625434357;0.9950485251480893;0.9952568434763459;0.9950485251480893;0.996771653251788;0.9874038250434198;0.9942195440145138;0.9874038250434198
2.5;0.9632750837628942;0.9674034213526823;0.9766879317468564;0.9674034213526823;0.9632750837628942;0.9674034213526823;0.9766879317468564;0.9674034213526823;0.9632750837628942;0.9674034213526823;0.9766879317468564;0.9674034213526823
3.45;0.968028463524189;0.9855632325658155;0.9804669443016084;0.9855632325658155;0.968028463524189;0.9855632325658155;0.9804669443016084;0.9855632325658155;0.968028463524189;0.9855632325658155;0.9804669443016084;0.9855632325658155
4.0;0.9910552381226901;0.9921486384104228;0.9868089483215665;0.9921486384104228;0.9910552381226901;0.9921486384104228;0.9868089483215665;0.9921486384104228;0.992745210109791;0.9932533891698476;0.9887913185032896;0.9932533891698476
3.0;0.9667693390105521;0.9594017268913076;0.9545600666172228;0.9594017268913076;0.9667693390105521;0.9594017268913076;0.9545600666172228;0.9594017268913076;0.9702528190596617;0.9632063627117425;0.9530824865094605;0.9632063627117425
2.0;0.9443568940514275;0.9295641180833997;0.9480263724002981;0.9295641180833997;0.9443568940514275;0.9295641180833997;0.9480263724002981;0.9295641180833997;0.9443568940514275;0.9295641180833997;0.9480263724002981;0.9295641180833997
2.5;0.9782221086805672;0.9857907978114796;0.9713707228901027;0.9857907978114796;0.9782221086805672;0.9857907978114796;0.9713707228901027;0.9857907978114796;0.9811152598664339;0.9872110404126716;0.9748355445011933;0.9872110404126716
3.0;0.9407741959472259;0.9539633954734867;0.9588996984831041;0.9539633954734867;0.9407741959472259;0.9539633954734867;0.9588996984831041;0.9539633954734867;0.9407741959472259;0.9539633954734867;0.9588996984831041;0.9539633954734867
0.0;0.8671767317024293;0.9166389413076609;0.8876494327199204;0.9166389413076609;0.8671767317024293;0.9166389413076609;0.8876494327199204;0.9166389413076609;0.8671767317024293;0.9166389413076609;0.8876494327199204;0.9166389413076609
2.5;0.9493107001758899;0.8914827480689018;0.941915670216109;0.8914827480689018;0.9493107001758899;0.8914827480689018;0.941915670216109;0.8914827480689018;0.9493107001758899;0.8914827480689018;0.941915670216109;0.8914827480689018
3.0;0.9792640063898098;0.9886734919318275;0.9762257666170889;0.9886734919318275;0.9792640063898098;0.9886734919318275;0.9762257666170889;0.9886734919318275;0.9792640063898098;0.9886734919318275;0.9762257666170889;0.9886734919318275
0.5;0.888445367420678;0.9431873827408463;0.8956493809643838;0.9431873827408463;0.8939349585847576;0.9460246423472617;0.8969657964347881;0.9460246423472617;0.8939349585847576;0.9460246423472617;0.8969657964347881;0.9460246423472617
3.0;0.9637400678478201;0.9726360774339984;0.9669754717905729;0.9726360774339984;0.9637400678478201;0.9726360774339984;0.9669754717905729;0.9726360774339984;0.9552170325168253;0.9668294203089817;0.9612552225662507;0.9668294203089817
4.1;0.9677753836914129;0.9867688566280276;0.973983551549934;0.9867688566280276;0.9677753836914129;0.9867688566280276;0.973983551549934;0.9867688566280276;0.9677753836914129;0.9867688566280276;0.973983551549934;0.9867688566280276
3.5;0.9747072254276835;0.9861474407265736;0.980578742725724;0.9861474407265736;0.9747072254276835;0.9861474407265736;0.980578742725724;0.9861474407265736;0.9747072254276835;0.9861474407265736;0.980578742725724;0.9861474407265736
4.0;0.9905487568206284;0.9958564067338949;0.9964148543701249;0.9958564067338949;0.9905487568206284;0.9958564067338949;0.9964148543701249;0.9958564067338949;0.9905487568206284;0.9958564067338949;0.9964148543701249;0.9958564067338949
2.5;0.9726610312676128;0.9758977080124472;0.9782326201062379;0.9758977080124472;0.9997924378102956;0.9997876854429246;0.9997297469729801;0.9997876854429246;0.9667998013504867;0.9674592749176687;0.9722387480353968;0.9674592749176687
4.0;0.9967595159494116;0.9976426461062406;0.994612659163861;0.9976426461062406;0.9967595159494116;0.9976426461062406;0.994612659163861;0.9976426461062406;0.99634543318106;0.9974301062234198;0.9943932289064332;0.9974301062234198
