"","attract.reppel.emb","cf.emb","paragram.ws.emb","paragram.sl.emb","wordnet.randomwalks.emb","cbow.emb","en_wordsenses_BN.txt.nasari.unified","glove.emb","fastext.emb","sp.500d.emb","wordnet.ukb.ppv"
"MC28",0.837385055257029,0.805898774452159,0.795840818403602,0.780873304226276,0.835036644160412,0.79607590519735,0.831022719236893,0.844952627594658,0.842097955359192,0.605955530599075,0.541512010355394
"RG65",0.840361674066542,0.805959570267992,0.810058738043914,0.798187087638312,0.796842007003249,0.772061977774523,0.790975134564024,0.770450028761736,0.793282475815225,0.690479215442682,0.547851322252929
"PSfull",0.89254406775968,0.865970954156758,0.84944968671721,0.854347578818118,0.843099142558121,0.786277996091506,0.811525555467606,0.759147867867755,0.817747863246699,0.70909856288137,0.628949489965785
"Agirre201",0.719733726928927,0.700623930093024,0.765116041073727,0.747717774712316,0.77322306612236,0.762776651454256,0.707556950105798,0.796775048178553,0.774690556851339,0.454232720684338,0.374992259059473
"SimLex665",0.690640687114979,0.696589571496727,0.661999839849229,0.682489905102775,0.542879737359291,0.461135298494206,0.489122807404758,0.467338068024117,0.411185184112814,0.435278152239169,0.361127339508296
"SimLex111",0.876534009581869,0.857417526183706,0.844220358349868,0.815118431276136,0.637451247208106,0.597983919322139,0.497778182788574,0.614018142020151,0.483965180071458,0.700055838764758,0.442729322601082
"SimLex222",0.777070235503505,0.713058730128015,0.574245537433052,0.605419419436554,0.463693302245827,0.348625032900924,0.428374513548632,0.219878842855067,0.247217496830527,0.536703376009753,0.338360513107226
"SimLex999",0.745368454577478,0.728469232571566,0.67583868419615,0.689448659184313,0.532038897322614,0.453928250205296,0.465950864671401,0.43668782214272,0.385185516989673,0.493177606777331,0.370441940009267
"SimVerb3500",0.66598144411919,0.613221744312994,0.52418746949781,0.545519153944753,0.548905697696109,0.375437061474568,0.336212219782006,0.29387576943901,0.263270953384877,0.327053276838918,0.387371312742525
"Avg_r",0.782846594989911,0.754134448184771,0.722328574840507,0.724346812704395,0.663685526852899,0.594922454768308,0.59539099417441,0.578124912987085,0.557627020295756,0.550226031137488,0.443703945511331
"MC28",0.883504523511749,0.856947368637054,0.824366941522738,0.760848797904911,0.908692752877438,0.780561325234582,0.796431374150495,0.862149285571272,0.845448394361413,0.652429897591725,0.894182142481987
"RG65",0.824988528118845,0.807876392233999,0.812662545182634,0.774875976926058,0.822803070151432,0.760058571906996,0.744864723489636,0.768975240414042,0.80053325346349,0.662958674414823,0.857921826594973
"PSfull",0.842535429851758,0.831193522706117,0.821075405156151,0.793780526495446,0.81384193451028,0.767250516332038,0.752469426968425,0.754815939904542,0.800576929428576,0.674264360446287,0.840599663454184
"Agirre201",0.738164088927676,0.694588501069959,0.808165663536003,0.777554956750417,0.784181476132779,0.771843204428197,0.684369126461331,0.79527912272106,0.777167030493086,0.483328038161908,0.717518645885292
"SimLex665",0.690255075183177,0.698112355473307,0.644558777515372,0.679298749701493,0.528918239785162,0.453659062747484,0.488225099250587,0.429117497603844,0.409930288457861,0.459564871480688,0.523519343556725
"SimLex111",0.87181692508108,0.846547568786422,0.825187744781838,0.795052315187862,0.643466892039475,0.592186640777855,0.472725430051324,0.621813085247647,0.507738988191122,0.675686527960933,0.555351036316376
"SimLex222",0.78301173615698,0.726821827430476,0.56191773350933,0.589526240264388,0.445939190909789,0.321869275129522,0.413862339280462,0.195811340657365,0.230550939012598,0.544203801440911,0.367120967908515
"SimLex999",0.750853894330222,0.735830408864914,0.666530493203082,0.684942067679321,0.524791200475037,0.441962291206694,0.44990981613784,0.408285596742584,0.380333162793095,0.513370994976822,0.496578812770919
"SimVerb3500",0.671791447737891,0.62776431272176,0.514371819715125,0.539838794494208,0.54521599296577,0.363548365378711,0.287166103783794,0.283276951183888,0.258055877671908,0.328394381672139,0.498522842990061
"Avg_rho",0.784102405433264,0.758409139769334,0.719870791569142,0.710635380600456,0.668650083316351,0.583659917015786,0.565558159952655,0.568836006671805,0.556703873763683,0.55491128312736,0.639035031328781
"MC28",0.859826793500649,0.830639487633646,0.809852757940324,0.770731007897354,0.870309060826359,0.788242281171972,0.813359429210735,0.85346434047549,0.843769848894912,0.628334524410832,0.674531366784998
"RG65",0.832604144961059,0.806916842905298,0.811358552587979,0.786358809428639,0.809614475462375,0.766013254470055,0.767227744226995,0.769711928155198,0.796891371585757,0.676439146282601,0.668690545803784
"PSfull",0.866819071779436,0.848225917710967,0.835021573844127,0.822951163490208,0.828212235980597,0.776647732767528,0.780882517591988,0.756975706380045,0.809071301839944,0.691242884903231,0.719533236931244
"Agirre201",0.728832412025876,0.697593161510772,0.786051870055623,0.762344530240699,0.77866371764108,0.767283145288013,0.695769897579321,0.796026382649294,0.775926817678491,0.468328922015625,0.492560644877816
"SimLex665",0.690447827308461,0.697350132170815,0.65316289957088,0.680890588395806,0.535808055663847,0.457366630530405,0.488673541048726,0.447413011809559,0.410556777368378,0.447091931857693,0.427418428936502
"SimLex111",0.87416910393905,0.851947876594748,0.834595557909164,0.804960340214304,0.640444943825417,0.595071160881011,0.484928448314214,0.617891030527978,0.495567123166822,0.687655349597957,0.492686156815739
"SimLex222",0.780029671863843,0.719874501501275,0.568014754788868,0.597367137536286,0.454642985138873,0.334713316094939,0.420993400300288,0.207148365341917,0.238593518360165,0.540427565962775,0.352154499917128
"SimLex999",0.748101119113712,0.732131318044713,0.671152316497221,0.687187974933555,0.528390196697084,0.447865359060466,0.457789863122732,0.422009365191549,0.382743961206402,0.503071740898222,0.424334984325329
"SimVerb3500",0.668873829384187,0.620407819543946,0.519233259685714,0.542664109776126,0.547054623938423,0.369397081571312,0.309759738346462,0.288479042093591,0.260637331109682,0.327722457245002,0.435974087584992
"Avg_h",0.783300441541808,0.756120784179576,0.7209381714311,0.717272851323664,0.665904477241562,0.5891777735373,0.579931619971274,0.573235463624958,0.557084227912284,0.552257169241549,0.52087599466417
