"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg","p-value"
"glove.emb",0.746523095408076,0.761501752270581,0.738289872648871,0.612630795805046,0.714736379033144,0.045
"wordnet.randomwalks.emb",0.740429126847959,0.728015637992587,0.725826724190721,0.611002339791282,0.701318457205637,0.00033
"fastext.emb",0.72216754496961,0.743794515128094,0.721196301857563,0.592200936067195,0.694839824505615,0.015
"cbow.emb",0.724810921328062,0.739763664465985,0.676953834583713,0.60676682370022,0.687073811019495,0.019
"paragram.ws.emb",0.700806860274336,0.704251324147953,0.667534021618879,0.57295738741017,0.661387398362834,NA
"en_wordsenses_BN.txt.nasari.unified",0.694509637401438,0.667251601343431,0.637919306348227,0.639018084959356,0.659674657513113,0.0059
"attract.reppel.emb",0.693594801118719,0.7116532610019,0.659755913254151,0.567451619642638,0.658113898754352,0.00012
"sp.500d.emb",0.704380611107532,0.706892327057091,0.632056439012976,0.583644156429988,0.656743383401897,0.0043
"wordnet.ukb.ppv",0.660549712752648,0.689457329323807,0.688219689562645,0.578088977298845,0.654078927234486,0.00069
"cf.emb",0.692572318042898,0.684283798580496,0.64511155409122,0.574765079815804,0.649183187632605,0.003
"paragram.sl.emb",0.692981851831291,0.688201435881807,0.63386621646421,0.55594893507041,0.64274960981193,0.012
"PedersenPath",0.664241164540477,0.680774746398275,0.611558437003428,0.561240632079468,0.629453745005412,0.006
"CaiStrategy2.Cai",0.748535978931623,0.683086816367389,0.525259449556304,0.537294150854569,0.623544098927471,0.0067
"Garla.Sanchez2011",0.630797780591862,0.681604167768039,0.602679781572553,0.550457356417639,0.616384771587523,0.0065
"Zhou.Seco",0.746401035873073,0.673180498535879,0.496763082493879,0.518406642722387,0.608687814906304,0.0062
"Li2003Strategy3",0.724989998862565,0.65301383610911,0.467353950864163,0.497945364924323,0.58582578769004,0.0039
"FaITH.Seco",0.710570295227082,0.665097393430691,0.449998594661098,0.498471425423032,0.581034427185476,0.0049
"Taieb2014",0.724522151904931,0.667234540080569,0.44935405572752,0.481969855410905,0.580770150780981,0.0055
"CosineNormWeightedJiangConrath.Sanchez2011",0.734693522492891,0.649802561930856,0.39165632166178,0.480589968865592,0.56418559373778,0.0027
"Gao2015Strategy3.CondProbRefHyponyms",0.734224621072757,0.645601987111178,0.403012619718983,0.463899245886917,0.561684618447459,0.0024
"Lin.Seco",0.729299447980803,0.648485545046948,0.394757588678575,0.469629817231022,0.560543099734337,0.0025
"Sanchez2012",0.724683508352264,0.625265640301089,0.427331415793227,0.461036735598796,0.559579325011344,0.002
"CosineNormJiangConrath.Sanchez2011",0.732649296720448,0.648744669320019,0.389735441471467,0.461452441249262,0.558145462190299,0.0024
"Meng2014.Seco",0.737295759812536,0.605666295906714,0.293799623644427,0.403383850021307,0.510036382346246,0.00062
"Meng2012.Seco",0.677994645711051,0.621620154148976,0.315640681361558,0.419878377809705,0.508783464757822,0.002
"WuPalmerFast",0.732126457598068,0.543065246020989,0.324653966583579,0.415116491987649,0.503740540547571,0.00012
"Mubaid",0.584771011166482,0.576009062773076,0.316778723885242,0.409579468803431,0.471784566657058,0.0027
"PirroSeco.Seco",0.654562790725107,0.583231725331844,0.240053288495881,0.355613478656263,0.458365320802274,0.00071
"LeacockChodorow",0.64903382869372,0.548647605806908,0.247261573972118,0.362409235450686,0.451838060980858,0.00047
"JiangConrath.Sanchez2011",0.558419000208685,0.463743852111608,0.0906819157604256,0.219585584013606,0.333107588023581,0.0035
"Rada",0.614547954610375,0.393681828128915,0.0757890748723765,0.225664979889191,0.327420959375214,0.0065
"Resnik.CondProbRefLeavesSubsumersRatio",0.435389654474709,0.477321012067375,0.104421288152786,0.225191003825327,0.310580739630049,3e-04
