"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg","p-value"
"glove.emb",0.705,0.749,0.665,0.599,0.679,0.9
"paragram.ws.emb",0.701,0.704,0.668,0.573,0.661,NA
"fastext.emb",0.641,0.728,0.659,0.54,0.642,0.18
"cbow.emb",0.65,0.698,0.567,0.576,0.623,0.1
"paragram.sl.emb",0.674,0.66,0.578,0.523,0.609,0.014
"wordnet.randomwalks.emb",0.642,0.653,0.623,0.513,0.608,0
"cf.emb",0.666,0.63,0.59,0.526,0.603,0.006
"attract.reppel.emb",0.59,0.618,0.541,0.464,0.553,0
"en_wordsenses_BN.txt.nasari.unified",0.505,0.474,0.4,0.553,0.483,0.024
"sp.500d.emb",0.506,0.409,0.328,0.436,0.42,0.007
"wordnet.ukb.ppv",0.349,0.32,0.414,0.328,0.353,0.002
"Taieb2014",0.54,0.496,0.091,0.189,0.329,0.019
"CosineNormWeightedJiangConrath.Sanchez2011",0.529,0.487,0.079,0.22,0.328,0.019
"CaiStrategy2.Cai",0.536,0.478,0.081,0.219,0.328,0.019
"FaITH.Seco",0.515,0.49,0.088,0.208,0.325,0.017
"Meng2012.Seco",0.52,0.487,0.084,0.204,0.324,0.017
"PirroSeco.Seco",0.515,0.482,0.085,0.21,0.323,0.016
"Zhou.Seco",0.541,0.467,0.069,0.211,0.322,0.019
"CosineNormJiangConrath.Sanchez2011",0.525,0.48,0.079,0.188,0.318,0.017
"Lin.Seco",0.524,0.469,0.069,0.193,0.314,0.017
"Gao2015Strategy3.CondProbRefHyponyms",0.533,0.454,0.072,0.184,0.311,0.017
"JiangConrath.Sanchez2011",0.518,0.442,0.066,0.194,0.305,0.015
"Li2003Strategy3",0.518,0.434,0.07,0.19,0.303,0.014
"Garla.Sanchez2011",0.41,0.437,0.117,0.234,0.3,0.006
"PedersenPath",0.425,0.423,0.103,0.221,0.293,0.006
"LeacockChodorow",0.506,0.41,0.056,0.195,0.292,0.013
"Resnik.CondProbRefLeavesSubsumersRatio",0.402,0.453,0.077,0.195,0.282,0.007
"Mubaid",0.446,0.415,0.059,0.204,0.281,0.009
"Sanchez2012",0.506,0.394,0.057,0.16,0.279,0.011
"Meng2014.Seco",0.471,0.425,0.032,0.161,0.272,0.012
"Rada",0.51,0.338,0.02,0.175,0.261,0.012
"WuPalmerFast",0.466,0.302,0.024,0.159,0.238,0.008
