"","Measure","p-value(r)","Measure","p-value(rho)"
"1","CaiStrategy2.Cai","0.32","paragram.ws.emb","0.29"
"2","CosineNormWeightedJiangConrath.Sanchez2011","0.32","wordnet.randomwalks.emb","0.27"
"3","Zhou.Seco","0.27","wordnet.ukb.ppv","0.23"
"4","Taieb2014","0.26","fastext.emb","0.14"
"5","CosineNormJiangConrath.Sanchez2011","0.26","glove.emb","0.12"
"6","PirroSeco.Seco","0.2","paragram.sl.emb","0.11"
"7","Gao2015Strategy3.CondProbRefHyponyms","0.16","CosineNormWeightedJiangConrath.Sanchez2011","0.072"
"8","Meng2012.Seco","0.16","cbow.emb","0.055"
"9","JiangConrath.Sanchez2011","0.16","cf.emb","0.05"
"10","wordnet.randomwalks.emb","0.16","Zhou.Seco","0.022"
"11","paragram.ws.emb","0.15","PirroSeco.Seco","0.015"
"12","fastext.emb","0.15","Meng2014.Seco","0.014"
"13","FaITH.Seco","0.14","CaiStrategy2.Cai","0.012"
"14","Lin.Seco","0.14","Mubaid","0.011"
"15","Li2003Strategy3","0.13","CosineNormJiangConrath.Sanchez2011","0.01"
"16","glove.emb","0.13","JiangConrath.Sanchez2011","0.01"
"17","paragram.sl.emb","0.098","Garla.Sanchez2011","0.01"
"18","cbow.emb","0.073","Li2003Strategy3","0.0092"
"19","LeacockChodorow","0.06","PedersenPath","0.0092"
"20","en_wordsenses_BN.txt.nasari.unified","0.06","LeacockChodorow","0.0092"
"21","Resnik.CondProbRefLeavesSubsumersRatio","0.054","Rada","0.0092"
"22","Sanchez2012","0.044","en_wordsenses_BN.txt.nasari.unified","0.0081"
"23","Meng2014.Seco","0.033","Resnik.CondProbRefLeavesSubsumersRatio","0.0078"
"24","cf.emb","0.022","Gao2015Strategy3.CondProbRefHyponyms","0.0049"
"25","Mubaid","0.0075","Meng2012.Seco","0.0044"
"26","Garla.Sanchez2011","0.005","FaITH.Seco","0.0044"
"27","PedersenPath","0.0029","Lin.Seco","0.0044"
"28","Rada","0.00076","Taieb2014","0.0029"
"29","sp.500d.emb","0.00029","WuPalmerFast","0.0027"
"30","WuPalmerFast","0.00023","Sanchez2012","0.0021"
"31","wordnet.ukb.ppv","1.5e-05","sp.500d.emb","0.00018"
