"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg","p-value"
"attract.reppel.emb",0.837385055257029,0.840361674066542,0.89254406775968,0.719733726928927,0.690640687114979,0.796133042225431,NA
"CaiStrategy2.Cai",0.858433147256212,0.872174959159742,0.901034372360551,0.687383818206608,0.60758785000132,0.785322829396887,0.32
"CosineNormWeightedJiangConrath.Sanchez2011",0.871006506066104,0.87704083676606,0.884958459448774,0.694509209499959,0.591833554694954,0.78386971329517,0.32
"Zhou.Seco",0.854141042609589,0.872769308199724,0.894911904926083,0.672100826032592,0.623672628570962,0.78351914206779,0.27
"Taieb2014",0.824786601284484,0.867033490394153,0.90677268968668,0.708190918799987,0.609337237051411,0.783224187443343,0.26
"CosineNormJiangConrath.Sanchez2011",0.847557021592452,0.875150183179981,0.89963763828478,0.682404648769911,0.594060011965523,0.779761900758529,0.26
"paragram.ws.emb",0.795840818403602,0.810058738043914,0.84944968671721,0.765116041073727,0.661999839849229,0.776493024817536,0.15
"PirroSeco.Seco",0.846343272995749,0.86218047405375,0.896966398700611,0.678902064029564,0.597498462127019,0.776378134381339,0.2
"Gao2015Strategy3.CondProbRefHyponyms",0.834829503114499,0.864822893886765,0.891152995507686,0.673512165123554,0.614079238562139,0.775679359238929,0.16
"cf.emb",0.805898774452159,0.805959570267992,0.865970954156758,0.700623930093024,0.696589571496727,0.775008560093332,0.022
"Meng2012.Seco",0.814401556158274,0.859579909429977,0.903147935923281,0.692160302050565,0.6047631849664,0.774810577705699,0.16
"FaITH.Seco",0.809410534361711,0.85648170660653,0.904189561510245,0.692233737836309,0.604602872045513,0.773383682472062,0.14
"paragram.sl.emb",0.780873304226276,0.798187087638312,0.854347578818118,0.747717774712316,0.682489905102775,0.772723130099559,0.098
"Lin.Seco",0.823982536864007,0.860885664784488,0.894490904507464,0.679676029507673,0.600970178952281,0.772001062923182,0.14
"Li2003Strategy3",0.835502515389044,0.862481577498681,0.885290463220405,0.664141260473388,0.605914561240725,0.770666075564449,0.13
"JiangConrath.Sanchez2011",0.859464399612693,0.861886026114062,0.876224930986311,0.652100333916538,0.583750835044485,0.766685305134818,0.16
"LeacockChodorow",0.825986994034341,0.850573683350071,0.871284374405753,0.647390301453118,0.604668363282515,0.759980743305159,0.06
"wordnet.randomwalks.emb",0.835036644160412,0.796842007003249,0.843099142558121,0.77322306612236,0.542879737359291,0.758216119440686,0.16
"Sanchez2012",0.806194477402327,0.847671855677789,0.870322616008749,0.669179290670401,0.594028477780535,0.75747934350796,0.044
"Meng2014.Seco",0.810739278036517,0.848589040242713,0.837446191102668,0.613136707752852,0.571215564101971,0.736225356247344,0.033
"Mubaid",0.790637476057975,0.807467239244422,0.852986865870553,0.645158412077481,0.575592143519835,0.734368427354053,0.0075
"Resnik.CondProbRefLeavesSubsumersRatio",0.793429819088097,0.823226361416841,0.874023995437506,0.668525126583356,0.512399086117004,0.734320877728561,0.054
"fastext.emb",0.842097955359192,0.793282475815225,0.817747863246699,0.774690556851339,0.411185184112814,0.727800807077054,0.15
"glove.emb",0.844952627594658,0.770450028761736,0.759147867867755,0.796775048178553,0.467338068024117,0.727732728085364,0.13
"en_wordsenses_BN.txt.nasari.unified",0.831022719236893,0.790975134564024,0.811525555467606,0.707556950105798,0.489122807404758,0.726040633355816,0.06
"cbow.emb",0.79607590519735,0.772061977774523,0.786277996091506,0.762776651454256,0.461135298494206,0.715665565802368,0.073
"PedersenPath",0.758475279827851,0.780722535049205,0.839757763922972,0.605239428375774,0.550863471406579,0.707011695716476,0.0029
"Garla.Sanchez2011",0.719770343587159,0.76897721784488,0.84703860208833,0.572317535434521,0.511741358125919,0.683969011416162,0.005
"Rada",0.729360349600083,0.770786247612691,0.750597508369524,0.557646215865353,0.565117177763607,0.674701499842252,0.00076
"WuPalmerFast",0.663852292924154,0.72028046186834,0.715490699715332,0.568080334316726,0.473050537737763,0.628150865312463,0.00023
"sp.500d.emb",0.605955530599075,0.690479215442682,0.70909856288137,0.454232720684338,0.435278152239169,0.579008836369327,0.00029
"wordnet.ukb.ppv",0.541512010355394,0.547851322252929,0.628949489965785,0.374992259059473,0.361127339508296,0.490886484228375,1.5e-05
