"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg"
"glove.emb",0.747,0.762,0.738,0.613,0.715
"wordnet.randomwalks.emb",0.74,0.728,0.726,0.611,0.701
"fastext.emb",0.722,0.744,0.721,0.592,0.695
"cbow.emb",0.725,0.74,0.677,0.607,0.687
"paragram.ws.emb",0.701,0.704,0.668,0.573,0.661
"en_wordsenses_BN.txt.nasari.unified",0.695,0.667,0.638,0.639,0.66
"attract.reppel.emb",0.694,0.712,0.66,0.567,0.658
"sp.500d.emb",0.704,0.707,0.632,0.584,0.657
"wordnet.ukb.ppv",0.661,0.689,0.688,0.578,0.654
"cf.emb",0.693,0.684,0.645,0.575,0.649
"paragram.sl.emb",0.693,0.688,0.634,0.556,0.643
"PedersenPath",0.664,0.681,0.612,0.561,0.629
"CaiStrategy2.Cai",0.749,0.683,0.525,0.537,0.624
"Garla.Sanchez2011",0.631,0.682,0.603,0.55,0.616
"Zhou.Seco",0.746,0.673,0.497,0.518,0.609
"Li2003Strategy3",0.725,0.653,0.467,0.498,0.586
"FaITH.Seco",0.711,0.665,0.45,0.498,0.581
"Taieb2014",0.725,0.667,0.449,0.482,0.581
"CosineNormWeightedJiangConrath.Sanchez2011",0.735,0.65,0.392,0.481,0.564
"Gao2015Strategy3.CondProbRefHyponyms",0.734,0.646,0.403,0.464,0.562
"Lin.Seco",0.729,0.648,0.395,0.47,0.561
"Sanchez2012",0.725,0.625,0.427,0.461,0.56
"CosineNormJiangConrath.Sanchez2011",0.733,0.649,0.39,0.461,0.558
"Meng2014.Seco",0.737,0.606,0.294,0.403,0.51
"Meng2012.Seco",0.678,0.622,0.316,0.42,0.509
"WuPalmerFast",0.732,0.543,0.325,0.415,0.504
"Mubaid",0.585,0.576,0.317,0.41,0.472
"PirroSeco.Seco",0.655,0.583,0.24,0.356,0.458
"LeacockChodorow",0.649,0.549,0.247,0.362,0.452
"JiangConrath.Sanchez2011",0.558,0.464,0.091,0.22,0.333
"Rada",0.615,0.394,0.076,0.226,0.327
"Resnik.CondProbRefLeavesSubsumersRatio",0.435,0.477,0.104,0.225,0.311
