"","Measure","p-value(r)","Measure","p-value(rho)","Measure","p-value(h)"
"1","CaiStrategy2.Cai","0.32","paragram.ws.emb","0.29","paragram.ws.emb","0.22"
"2","CosineNormWeightedJiangConrath.Sanchez2011","0.32","wordnet.randomwalks.emb","0.27","wordnet.randomwalks.emb","0.21"
"3","Zhou.Seco","0.27","wordnet.ukb.ppv","0.23","CosineNormWeightedJiangConrath.Sanchez2011","0.16"
"4","Taieb2014","0.26","fastext.emb","0.14","fastext.emb","0.14"
"5","CosineNormJiangConrath.Sanchez2011","0.26","glove.emb","0.12","glove.emb","0.12"
"6","PirroSeco.Seco","0.2","paragram.sl.emb","0.11","paragram.sl.emb","0.1"
"7","Gao2015Strategy3.CondProbRefHyponyms","0.16","CosineNormWeightedJiangConrath.Sanchez2011","0.072","Zhou.Seco","0.08"
"8","Meng2012.Seco","0.16","cbow.emb","0.055","CaiStrategy2.Cai","0.071"
"9","JiangConrath.Sanchez2011","0.16","cf.emb","0.05","cbow.emb","0.062"
"10","wordnet.randomwalks.emb","0.16","Zhou.Seco","0.022","CosineNormJiangConrath.Sanchez2011","0.059"
"11","paragram.ws.emb","0.15","PirroSeco.Seco","0.015","PirroSeco.Seco","0.054"
"12","fastext.emb","0.15","Meng2014.Seco","0.014","JiangConrath.Sanchez2011","0.048"
"13","FaITH.Seco","0.14","CaiStrategy2.Cai","0.012","Li2003Strategy3","0.029"
"14","Lin.Seco","0.14","Mubaid","0.011","Taieb2014","0.026"
"15","Li2003Strategy3","0.13","CosineNormJiangConrath.Sanchez2011","0.01","Gao2015Strategy3.CondProbRefHyponyms","0.025"
"16","glove.emb","0.13","JiangConrath.Sanchez2011","0.01","cf.emb","0.024"
"17","paragram.sl.emb","0.098","Garla.Sanchez2011","0.01","Lin.Seco","0.023"
"18","cbow.emb","0.073","Li2003Strategy3","0.0092","en_wordsenses_BN.txt.nasari.unified","0.023"
"19","LeacockChodorow","0.06","PedersenPath","0.0092","Meng2012.Seco","0.022"
"20","en_wordsenses_BN.txt.nasari.unified","0.06","LeacockChodorow","0.0092","FaITH.Seco","0.021"
"21","Resnik.CondProbRefLeavesSubsumersRatio","0.054","Rada","0.0092","LeacockChodorow","0.02"
"22","Sanchez2012","0.044","en_wordsenses_BN.txt.nasari.unified","0.0081","Meng2014.Seco","0.019"
"23","Meng2014.Seco","0.033","Resnik.CondProbRefLeavesSubsumersRatio","0.0078","Resnik.CondProbRefLeavesSubsumersRatio","0.019"
"24","cf.emb","0.022","Gao2015Strategy3.CondProbRefHyponyms","0.0049","Mubaid","0.0084"
"25","Mubaid","0.0075","Meng2012.Seco","0.0044","Sanchez2012","0.0079"
"26","Garla.Sanchez2011","0.005","FaITH.Seco","0.0044","Garla.Sanchez2011","0.0057"
"27","PedersenPath","0.0029","Lin.Seco","0.0044","PedersenPath","0.0046"
"28","Rada","0.00076","Taieb2014","0.0029","Rada","0.0019"
"29","sp.500d.emb","0.00029","WuPalmerFast","0.0027","WuPalmerFast","0.00066"
"30","WuPalmerFast","0.00023","Sanchez2012","0.0021","wordnet.ukb.ppv","4e-04"
"31","wordnet.ukb.ppv","1.5e-05","sp.500d.emb","0.00018","sp.500d.emb","0.00023"
