"","Measure","p-value(r)","Measure","p-value(rho)","Measure","p-value(h)"
"1","paragram.ws.emb","0.018","paragram.ws.emb","0.026","paragram.ws.emb","0.021"
"2","wordnet.randomwalks.emb","0.0089","wordnet.randomwalks.emb","0.016","wordnet.randomwalks.emb","0.012"
"3","paragram.sl.emb","0.0085","wordnet.ukb.ppv","0.014","glove.emb","0.0072"
"4","glove.emb","0.0074","glove.emb","0.007","paragram.sl.emb","0.0069"
"5","fastext.emb","0.0064","fastext.emb","0.0064","fastext.emb","0.0064"
"6","cbow.emb","0.003","paragram.sl.emb","0.0064","cbow.emb","0.0027"
"7","en_wordsenses_BN.txt.nasari.unified","0.003","cbow.emb","0.0025","en_wordsenses_BN.txt.nasari.unified","0.0017"
"8","cf.emb","0.0015","cf.emb","0.0022","cf.emb","0.0014"
"9","sp.500d.emb","8.9e-07","en_wordsenses_BN.txt.nasari.unified","0.001","wordnet.ukb.ppv","2e-05"
"10","wordnet.ukb.ppv","1.4e-07","sp.500d.emb","6.7e-07","sp.500d.emb","7.2e-07"
