"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg","p-value"
"Zhou.Seco",0.911699516989229,0.905245830786953,0.945680924560935,0.777396477148865,0.739484361827746,0.855901422262746,0.0055
"CosineNormWeightedJiangConrath.Sanchez2011",0.919539495800713,0.912382997660953,0.942237215039031,0.783565742958005,0.72116778418996,0.855778647129732,0.0065
"CaiStrategy2.Cai",0.907334703948165,0.902110028540205,0.946645152360091,0.786144249331885,0.73635885447262,0.855718597730593,0.0097
"CosineNormJiangConrath.Sanchez2011",0.907683596854211,0.910254072633927,0.94922438704861,0.77773076991691,0.719774883976247,0.852933542085981,0.0057
"Gao2015Strategy3.CondProbRefHyponyms",0.899067620882923,0.898781582714087,0.938812092982668,0.767431094699347,0.73181126504475,0.847180731264755,0.0047
"Meng2014.Seco",0.911416001296181,0.914674695532639,0.933401894435148,0.748661577932996,0.723100957287698,0.846251025296932,0.00097
"Taieb2014",0.888567317303949,0.895658880076364,0.943113952753895,0.781990806913804,0.721900445241639,0.84624628045793,0.0068
"Lin.Seco",0.888391478872447,0.897566324112389,0.941880381319037,0.774078638123673,0.723552737166861,0.845093911918881,0.0049
"Li2003Strategy3",0.900802033774824,0.895475147460141,0.934331864126432,0.76276053914829,0.728311718201859,0.844336260542309,0.0054
"Sanchez2012",0.89005918660346,0.895616712271592,0.934887205084382,0.767045699107588,0.731451592121591,0.843812079037723,0.0024
"FaITH.Seco",0.875655776651931,0.887872855389266,0.939859926549887,0.774197054452952,0.717872430760798,0.839091608760967,0.0062
"Meng2012.Seco",0.869945139862009,0.888962336063774,0.937239174576804,0.762632881355825,0.698299149517109,0.831415736275104,0.0044
"PirroSeco.Seco",0.886372578777138,0.891581201165955,0.932221938768069,0.743587554537093,0.679174885963964,0.826587631842444,0.0036
"glove.emb",0.875875059621791,0.854996511284865,0.883349549589463,0.816535801891275,0.691327965621819,0.824416977601843,0.03
"wordnet.randomwalks.emb",0.86800886962051,0.847572018945831,0.898788750015082,0.791279359916685,0.708695118511227,0.822868823401867,0.034
"fastext.emb",0.867747973656895,0.857861025829798,0.902357001653907,0.792683455277019,0.672950382442135,0.818719967771951,0.055
"LeacockChodorow",0.879317906555261,0.882532458309705,0.912755212519157,0.722333851348928,0.690336380562766,0.817455161859163,0.0023
"en_wordsenses_BN.txt.nasari.unified",0.870995489796288,0.854813210108357,0.893098653218203,0.780248342383764,0.679230508826795,0.815677240866681,0.013
"cbow.emb",0.85277446585462,0.851092903788838,0.890143012578983,0.799071432280094,0.679186987397265,0.81445376037996,0.018
"paragram.ws.emb",0.829008439289501,0.843642124479004,0.890427648951864,0.769512699497899,0.715622203476348,0.809642623138923,0.0074
"PedersenPath",0.856730009837459,0.848435545298164,0.906634482060219,0.732067653418133,0.700000829802596,0.808773704083314,0.0016
"WuPalmerFast",0.844932525474169,0.864402974497124,0.889539491809756,0.732469568426093,0.691019404979831,0.804472793037395,6.5e-05
"paragram.sl.emb",0.819177636350472,0.833341622092197,0.888428531231183,0.757622085440554,0.721383700371947,0.803990715097271,0.0022
"cf.emb",0.830762688838656,0.836358031135934,0.893695721352022,0.730134886790606,0.722091177941963,0.802608501211836,7e-06
"attract.reppel.emb",0.837385055257029,0.840361674066542,0.89254406775968,0.719733726928927,0.690640687114979,0.796133042225431,NA
"Mubaid",0.849511293446649,0.846147067151969,0.895170492839501,0.718529395878557,0.667670299983032,0.795405709859941,0.0018
"sp.500d.emb",0.823218609855805,0.849800451078514,0.893871179364064,0.712805385562808,0.690553239897996,0.794049773151837,0.00019
"Garla.Sanchez2011",0.829208246538409,0.838152805285767,0.906985408410126,0.712173790221693,0.670967639777071,0.791497578046613,0.0025
"JiangConrath.Sanchez2011",0.872238154668036,0.87241990756556,0.889094813628711,0.669675416175562,0.605773012122965,0.781840260832167,0.00092
"wordnet.ukb.ppv",0.794895358995147,0.79598187423626,0.867615733701512,0.662641414917239,0.665651140223293,0.75735710441469,1.5e-05
"Resnik.CondProbRefLeavesSubsumersRatio",0.80470289975418,0.831243371786483,0.882552165193858,0.682565477548508,0.534938464589179,0.747200475774442,0.0041
"Rada",0.777390172072843,0.810307130940572,0.798633598785815,0.610123182781149,0.622875596485982,0.723865936213272,4.1e-05
