"","paragram.ws.emb","paragram.sl.emb","glove.emb","fastext.emb","wordnet.randomwalks.emb","cbow.emb","cf.emb","attract.reppel.emb","en_wordsenses_BN.txt.nasari.unified","wordnet.ukb.ppv","sp.500d.emb"
"MTurk771",0.701,0.674,0.705,0.641,0.642,0.65,0.666,0.59,0.505,0.349,0.506
"MTurk287_235",0.704,0.66,0.749,0.728,0.653,0.698,0.63,0.618,0.474,0.32,0.409
"WS353Rel",0.668,0.578,0.665,0.659,0.623,0.567,0.59,0.541,0.4,0.414,0.328
"Rel122",0.573,0.523,0.599,0.54,0.513,0.576,0.526,0.464,0.553,0.328,0.436
"WS353Full",0.679,0.64,0.713,0.698,0.667,0.642,0.615,0.608,0.539,0.3,0.373
"MEN",0.754,0.712,0.8,0.755,0.725,0.723,0.68,0.655,0.626,0.362,0.438
"YP130",0.721,0.712,0.509,0.517,0.792,0.557,0.703,0.746,0.648,0.583,0.407
"RW2034",0.505,0.498,0.44,0.432,0.253,0.438,0.288,0.319,0.139,0.269,0.229
"RW1401",0.518,0.511,0.465,0.451,0.453,0.448,0.295,0.329,0.166,0.335,0.263
"SCWS1994",0.115,0.116,0.106,0.106,0.11,0.105,0.114,0.113,0.084,0.085,0.089
"Avg_r",0.594,0.562,0.575,0.553,0.543,0.54,0.511,0.498,0.413,0.335,0.348
"MTurk771",0.745,0.712,0.715,0.661,0.672,0.672,0.701,0.599,0.5,0.602,0.513
"MTurk287_235",0.699,0.663,0.724,0.709,0.64,0.674,0.639,0.606,0.434,0.599,0.414
"WS353Rel",0.721,0.644,0.651,0.681,0.626,0.603,0.645,0.586,0.442,0.488,0.303
"Rel122",0.589,0.56,0.584,0.539,0.521,0.56,0.562,0.466,0.557,0.525,0.405
"WS353Full",0.764,0.716,0.716,0.738,0.718,0.684,0.68,0.666,0.567,0.606,0.391
"MEN",0.799,0.771,0.801,0.762,0.754,0.732,0.741,0.709,0.639,0.669,0.434
"YP130",0.669,0.655,0.535,0.509,0.777,0.53,0.621,0.655,0.568,0.686,0.361
"RW2034",0.536,0.533,0.451,0.464,0.264,0.453,0.207,0.273,0.134,0.241,0.159
"RW1401",0.55,0.547,0.475,0.485,0.443,0.473,0.217,0.281,0.159,0.398,0.203
"SCWS1994",0.691,0.68,0.624,0.652,0.625,0.643,0.611,0.587,0.422,0.558,0.469
"Avg_rho",0.676,0.648,0.628,0.62,0.604,0.602,0.563,0.543,0.442,0.537,0.365
"MTurk771",0.722,0.692,0.71,0.651,0.657,0.66,0.683,0.594,0.503,0.442,0.51
"MTurk287_235",0.702,0.662,0.736,0.718,0.646,0.686,0.634,0.612,0.453,0.418,0.411
"WS353Rel",0.693,0.609,0.658,0.67,0.625,0.584,0.617,0.563,0.42,0.448,0.315
"Rel122",0.581,0.541,0.591,0.539,0.517,0.568,0.544,0.465,0.555,0.404,0.42
"WS353Full",0.719,0.676,0.714,0.718,0.691,0.662,0.646,0.636,0.552,0.401,0.382
"MEN",0.776,0.74,0.8,0.759,0.739,0.727,0.709,0.681,0.632,0.47,0.436
"YP130",0.694,0.682,0.522,0.513,0.784,0.543,0.66,0.698,0.606,0.63,0.383
"RW2034",0.52,0.515,0.445,0.447,0.258,0.445,0.241,0.294,0.137,0.254,0.188
"RW1401",0.534,0.528,0.47,0.467,0.448,0.46,0.25,0.303,0.162,0.364,0.229
"SCWS1994",0.197,0.198,0.181,0.182,0.188,0.181,0.192,0.19,0.14,0.148,0.149
"Avg_h",0.614,0.584,0.583,0.566,0.555,0.552,0.517,0.504,0.416,0.398,0.342
