"","paragram.ws.emb","paragram.sl.emb","glove.emb","fastext.emb","wordnet.randomwalks.emb","cbow.emb","cf.emb","attract.reppel.emb","en_wordsenses_BN.txt.nasari.unified","wordnet.ukb.ppv","sp.500d.emb"
"MTurk771",0.700806860274336,0.673896334702871,0.704794089672156,0.641055998377731,0.642379631334037,0.649591674561012,0.665704753287701,0.590467113251182,0.50535488576739,0.349012377991143,0.506381206340442
"MTurk287_235",0.704251324147953,0.65991269767573,0.748507791339628,0.727824156526709,0.653156911178941,0.698420969385439,0.629600158244673,0.617590783853378,0.474041831586916,0.32040098049668,0.409016602859565
"WS353Rel",0.667534021618879,0.577674701043909,0.664712486798962,0.659311864303999,0.623200661807079,0.566840681426795,0.590133865592383,0.541317732056532,0.399717188022968,0.414159315945604,0.327687681565796
"Rel122",0.57295738741017,0.523350588690635,0.598847669091799,0.539965197587848,0.512866440522709,0.576269433126641,0.52596249567297,0.463890195262975,0.552884018280182,0.328489073593146,0.435971822483838
"WS353Full",0.678556833026445,0.639697127472843,0.712919646153274,0.698166249837466,0.666717130870796,0.64194076751035,0.614889563112558,0.607798407102334,0.538976485441956,0.299687166395629,0.372508474301619
"MEN",0.753980445935942,0.711843183774674,0.800073601537624,0.755400374083277,0.725001358701884,0.72271921725798,0.680117831740506,0.65458566556218,0.62611517228741,0.362064880721601,0.437527256626106
"YP130",0.721086611099848,0.711947350999188,0.509287371888612,0.517417019778617,0.792227241147264,0.557206481813017,0.702787570980145,0.746437331041069,0.647861554026094,0.582852806019079,0.407244329747186
"RW2034",0.504799046164391,0.498313005681692,0.439566470209742,0.432286291000991,0.252991234765074,0.437694476969585,0.287973972548904,0.318723694258163,0.13924446143064,0.268798336923763,0.22859545881699
"RW1401",0.517761531726759,0.510656888654517,0.464515385885098,0.450997708947292,0.453204156960952,0.44822991510269,0.294888335064213,0.329492724368609,0.165993763154155,0.335395088528534,0.263171547390027
"SCWS1994",0.114744165354897,0.115678236068939,0.106162997249119,0.105644842460486,0.110405346728002,0.105349370079239,0.113628384712377,0.113316937690577,0.0839864309571094,0.0854675787903507,0.0885699830207648
"Avg_r",0.593647822675962,0.5622970114765,0.574938750982601,0.552806970290441,0.543215011401674,0.540426298723275,0.510568693095643,0.4983620584447,0.413417579095482,0.334632760540553,0.347667436315234
"MTurk771",0.745251965810093,0.712107773408246,0.715080202533743,0.661177039455475,0.672436498553921,0.671618664230474,0.701061446097629,0.598572168923944,0.500153341659069,0.601535483664442,0.513406866626773
"MTurk287_235",0.698998064400129,0.663198875415486,0.724230192809312,0.708910405549019,0.639886055155806,0.673816472472566,0.639290436002809,0.606066654031428,0.434160494743985,0.599138555928817,0.413621174027886
"WS353Rel",0.721478733898606,0.644090680132579,0.650955074882223,0.68091539980295,0.626093268553479,0.602868937571608,0.645339605021349,0.586360646994098,0.442235407694603,0.487960788614594,0.303279845800777
"Rel122",0.589015660889152,0.559683356245803,0.58400164833072,0.539008768632533,0.521033839530952,0.559959888642519,0.56249728024768,0.466137452755215,0.557420604231637,0.524896776321259,0.405353098737429
"WS353Full",0.763781695864953,0.71614019817536,0.71604975082553,0.738270136828634,0.717893035668986,0.684165433464434,0.68026640336482,0.666482313914865,0.566543064392522,0.606120539092048,0.391258431735213
"MEN",0.799121015289807,0.771039516445056,0.800551136592968,0.76208581492466,0.754374495710645,0.732075495805277,0.741393689152684,0.709460713027981,0.638758882929758,0.668645292188902,0.43438334943645
"YP130",0.669472917580453,0.654872860940502,0.534620042919342,0.509312730950786,0.776637451169976,0.530125403035617,0.621461595669493,0.655060990379381,0.568343193929184,0.686031891414283,0.361360292635862
"RW2034",0.536070067092106,0.53260046102727,0.451205845854442,0.463769671822308,0.263551502332429,0.452741856444593,0.206651951625381,0.272885488414737,0.13402336301506,0.241488119621099,0.159176473160194
