No: new confusion or inability to stay alert and awake; currently struggling to breathe, even while inactive or resting; currently feeling like you are going to collapse every time you stand (sit); any chest pain or discomfort; vomit that looks like ground coffee; vomiting blood; uncontrollable or continuous rectal bleeding; black, sticky, tar-like stools; heavy vaginal bleeding or purple or red rash/blotches that stay when pressed by a glass (purpural rash)	No: new confusion or inability to stay alert and awake; currently feeling like you are going to collapse every time you stand or sit up; complete inability to swallow; new neck pain and difficulty bending the neck; purple or red rash/blotches that stay when pressed by a glass (purpuric rash) or large amounts of pink or white frothy sputum	3
Negative gastrointestinal review of systems, Historian denies abdominal pain, nausea, vomiting.	Negative ears, nose, throat review of systems, Historian denies otalgia, sore throat, stridor.	1
No: new confusion or inability to stay alert and awake; new shortness of breath; new wheezing or chest tightness or raised, red or white, itchy rash that comes and goes (hives)	No: new confusion or inability to stay alert and awake; new shortness of breath; new wheezing or chest tightness or currently feeling like he is going to collapse every time he stands or sits up	3
Procedural pause conducted to verify: correct patient identity, procedure to be performed and as applicable, correct side and site, correct patient position and availability of implants, special equipment or special requirements.	Before procedure, pause conducted and patient identity, procedure, site, position, special equipment/requirements were verified.	3.25
Instructions: Take 2 tablets on first day followed 1 tablet daily on Days 2 through 5. Take medication for 5 days.	Instructions: Take 1 tab TID for 3 days, then take 1 tab BID for 3 days, then take 1 tab daily for 3 days, then take 1/2 tab daily for 4 days.	1.5
No: new confusion or inability to stay alert and awake; currently feeling like you are going to collapse every time you stand (sit); purple or red rash/blotches that stay when pressed by a glass (purpural rash); newly painful neck with difficulty bending the neck or puffiness around the eyes	No: new confusion or inability to stay alert and awake; currently feeling like you are going to collapse every time you stand (sit); purple or red rash/blotches that stay when pressed by a glass (purpural rash) or newly painful neck with difficulty bending the neck	3.9
Patient is a former tobacco user, smoked cigarettes, Patient quit smoking more than 10 years ago, Patient denies alcohol use, drug use.	Patient currently uses tobacco, smokes cigarettes, smokes 1 pack per day, has smoked for 30 years, Patient denies alcohol use.	1.75
Patient discharged to home, ambulating without assistance, family driving, accompanied by parent, Discharge instructions given to patient, Above person(s) verbalized understanding of discharge instructions and follow-up care.	Patient discharged to home, ambulating without assistance, friend driving, unaccompanied, Discharge instructions given to patient.	3
Discussed advanced directives and the necessity of other members of the healthcare team participating in the procedure.	Discussed risks, goals, and alternatives to sedated bone marrow aspiration and biopsy, advance directives, and the necessity of other members of the healthcare team participating in the procedure with the patient.	3
Procedural pause conducted to verify: Correct patient identity, procedure to be performed, and as applicable, correct side and site, correct patient position, and availability of implants, special equipment, or special requirements.	Procedural pause conducted to verify:  correct patient identity, procedure to be performed, and as applicable, correct side and site, correct patient position, and availability of special equipment or special requirements.	4.25
The patient will be seen by the cardiologist to further discuss the concerns of this chief complaint.	Patient was given the opportunity to ask any further questions and expressed that there were none at this time.	2
The patient/caller was instructed to call back if symptoms are persistent, changing, worsening, or if there are specific symptoms to watch for.	Patient to follow-up if symptoms do not resolve in 7 days or immediately if symptoms worsen.	3.9
MEDICAL NECESSITY: The patient would benefit from skilled physical therapy interventions to be able to return the patient to full work, home, leisure activities.	MEDICAL NECESSITY: The patient would benefit from skilled physical therapy interventions to be able to return the patient to full work, home, leisure, self-care, sporting activities.	4.75
Patient is here for the following immunization(s):  Inactivated Influenza Virus Vaccination; Tetanus and Diphtheria and Acellular Pertussis (Tdap) Vaccine	Patient is here for the following immunization:  Tetanus and Diphtheria and Acellular Pertussis (Tdap) Vaccine	3.25
The patient has no barriers to learning and expresses verbal understanding of the issues discussed.	All the patient's questions were answered, and he expressed understanding and satisfaction with this plan.	3.5
Explained diagnosis and treatment plan; patient/child/caregiver expressed understanding of the content.	Explained diagnosis and treatment plan; patient/child/caregiver expressed understanding of the content and agreement with the plan of care.	3.75
Identified Follow-up care as a learning need, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Printed Patient Instructions, Verbal Instructions, Patient verbalized an understanding of discharge teaching.	Identified Illness as a learning need, Patients primary language is English, No Barriers to learning were identified, No interventions were used to address Barriers to Learning, Teaching methods used included Printed Patient Instructions, Patient demonstrated and verbalized an understanding of discharge teaching.	3.75
Patient arrives ambulatory, Gait steady, History obtained from patient, Patient appears comfortable, Patient cooperative, alert.	Patient arrives ambulatory, Gait steady, History obtained from patient, Patient appears, anxious, in distress due to pain, Patient cooperative, alert, Oriented to person, place and time.	3.4
Discussed the risks, goals, benefits, alternatives, advance directives, and the necessity of other members of the healthcare team participating in the procedure.	Discussed risks and benefits of an unsedated bone marrow, the potential need for repeating the procedure and the necessity of other members of the healthcare team participating in the procedure with the patient.	3.15
If the patient experiences any of these possible signs and symptoms of a DVT or PE, report to the local emergency room immediately.	If the patient develops any sudden shortness of breath or difficulty breathing, the patient should go to the nearest emergency room for evaluation.	3.4
Patient is ready to learn, no apparent learning barriers were identified; learning preferences include listening.	Patient was ready to learn, no apparent learning barriers were identified  Patient agrees with therapy plan of care.	3
The patient initiated appropriate interactions during the session, expressed emotions openly, and displayed listening skills and empathy for others.	The patient asked appropriate questions, verbalized understanding of materials covered and expressed a willingness to comply.	1
Amount given: started, IV SITE #1, IV SITE #1 IV fluids established, IV SITE #1 1st bag hung, amount 1 Liter.	IV SITE #1, IV SITE #1 IV fluids established, IV SITE #1 1st bag hung, IV SITE #1 bolus of 1000 ml established, IV SITE #1 Rate of bolus, wide open.	3.5
