
WordNet Id1;WordNet Id1;Rada;AncSPLRada
2873520;14273860;-6.5;-9.0
6704115;9788073;-7.0;-7.0
6230208;2366203;-6.0;-6.0
7746038;3219135;-4.5;-4.5
3014317;7230502;-5.0;-6.0
10002257;6497331;-7.0;-7.0
14897164;1190561;-6.5;-6.5
3573574;5999540;-6.5;-7.0
3644248;5896733;-3.5;-3.5
7194499;15277462;-5.0;-5.0
14331271;2492660;-6.0;-9.5
4878539;15103911;-5.0;-5.0
5344073;13440935;-6.5;-6.5
407090;13292613;-7.0;-7.0
7134706;5901508;-4.0;-5.0
6484887;397010;-6.5;-6.5
425905;4215588;-7.0;-7.5
3452741;9262490;-4.0;-4.0
14098347;9692430;-6.0;-7.0
10132775;14410365;-5.5;-5.5
7798985;11141882;-5.5;-5.5
563665;14275077;-7.0;-8.5
3450516;11308624;-5.0;-5.0
8840964;10965151;-5.5;-6.0
9872285;4327204;-5.0;-5.0
7154760;13333546;-5.0;-5.0
2318437;13010219;-2.0;-2.0
631712;11693566;-6.0;-6.0
3171356;6549115;-5.5;-6.0
5389939;6536737;-6.5;-6.5
4357930;8647945;-5.0;-5.5
12651821;15156746;-5.5;-6.5
520783;11514805;-6.0;-7.0
360143;446632;-5.5;-6.0
8688076;5393996;-5.5;-5.5
8571139;7886463;-5.0;-5.0
2418770;14423268;-8.0;-10.5
2109811;10548227;-4.0;-4.0
11012993;4756172;-4.5;-4.5
3755388;11905035;-5.0;-7.5
1424607;14687261;-5.0;-5.5
11102878;8573842;-5.0;-5.0
15060688;3934998;-1.5;-1.5
3768916;14734905;-4.5;-4.5
13192625;8119397;-7.0;-9.0
14058066;13531149;-4.5;-4.5
1810700;365012;-8.5;-9.5
8090973;9716047;-5.0;-6.0
8479894;4769234;-3.5;-3.5
10017664;5232972;-5.0;-5.0
11517494;3220692;-5.0;-5.0
12982468;10310783;-2.0;-2.0
13901585;1257701;-5.0;-5.0
14333863;9192566;-7.0;-9.5
3692379;5640040;-5.5;-5.5
10020031;14731964;-5.5;-5.5
9208496;13478205;-2.5;-2.5
10587378;10187710;-3.5;-3.5
13979173;14241968;-5.0;-5.0
7959863;5083687;-3.0;-3.0
11833073;4860065;-6.5;-7.5
11508303;12184912;-7.0;-7.5
6864900;11552976;-5.5;-6.0
1302086;8825321;-5.5;-5.5
6476741;5041503;-4.0;-4.0
2109687;5392744;-6.0;-6.5
6492664;15003329;-5.5;-6.0
2874750;1030820;-6.5;-7.0
13280373;2380464;-8.5;-11.5
895879;665679;-1.5;-1.5
7868200;15014170;-4.0;-4.5
1117454;12063639;-7.5;-9.0
5629104;3720163;-6.5;-7.0
7554342;5827129;-4.0;-4.0
94954;4836074;-5.0;-5.0
2486138;1549430;-7.0;-9.0
5077348;535873;-6.5;-6.5
8660339;11236043;-5.0;-5.0
8998451;6567143;-7.5;-8.0
