
Distance;# pairs;Overall time (secs);Avg speed (concept pairs/secs)
0;1008;0.0;Infinity
1;1027;0.125;8216.0
2;17033;3.98;4279.64824120603
3;12536;2.39;5245.188284518828
4;25956;4.213;6160.930453358652
5;56903;8.663;6568.509754126746
6;127212;17.845;7128.719529279911
7;278908;41.503;6720.188902007084
8;459520;58.275;7885.371085371085
9;717448;84.12;8528.863528292914
10;1003410;113.948;8805.858812791801
11;1190466;125.462;9488.657920326474
12;1233869;118.663;10398.093761324086
13;1148161;98.928;11606.026605207828
14;987846;76.471;12917.916595833714
15;803849;56.772;14159.251039244698
16;623327;39.343;15843.402892509466
17;457825;26.385;17351.71498957741
18;322424;17.917;17995.423340961097
19;216641;11.095;19526.002703920683
20;137936;6.385;21603.132341425215
21;82990;3.46;23985.549132947977
22;47533;1.786;26614.221724524075
23;25597;0.865;29591.907514450868
24;12566;0.376;33420.21276595745
25;5850;0.163;35889.57055214724
26;2533;0.064;39578.125
27;1012;0.023;44000.0
28;1011;0.022;45954.545454545456
29;1016;0.019;53473.68421052632
30;1029;0.015;68600.0
31;1008;0.015;67200.0
32;1008;0.011;91636.36363636365
33;1000;0.011;90909.09090909091
34;1000;0.01;100000.0
