"","cf.emb+wordnet.randomwalks.emb","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+paragram.ws.emb","attract.reppel.emb+wordnet.randomwalks.emb","paragram.sl.emb+wordnet.randomwalks.emb","attract.reppel.emb+paragram.sl.emb","paragram.ws.emb+wordnet.ukb.ppv","attract.reppel.emb+glove.emb","attract.reppel.emb+fastext.emb","paragram.ws.emb+cf.emb","attract.reppel.emb+cbow.emb","glove.emb+cf.emb","fastext.emb+cf.emb","cbow.emb+cf.emb","paragram.sl.emb+wordnet.ukb.ppv","cf.emb+wordnet.ukb.ppv","fastext.emb+paragram.sl.emb","cbow.emb+paragram.sl.emb","paragram.sl.emb+cf.emb","attract.reppel.emb+wordnet.ukb.ppv","paragram.ws.emb+paragram.sl.emb","cbow.emb+paragram.ws.emb","glove.emb+paragram.sl.emb","fastext.emb+paragram.ws.emb","sp.500d.emb+paragram.ws.emb","glove.emb+paragram.ws.emb","paragram.ws.emb+en_wordsenses_BN.txt.nasari.unified","attract.reppel.emb+cf.emb","glove.emb+wordnet.randomwalks.emb","sp.500d.emb+paragram.sl.emb","cbow.emb+wordnet.randomwalks.emb","paragram.sl.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+wordnet.randomwalks.emb","cf.emb+en_wordsenses_BN.txt.nasari.unified","attract.reppel.emb+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+wordnet.randomwalks.emb","sp.500d.emb+cf.emb","attract.reppel.emb+sp.500d.emb","glove.emb+wordnet.ukb.ppv","cbow.emb+wordnet.ukb.ppv","wordnet.randomwalks.emb+wordnet.ukb.ppv","fastext.emb+wordnet.ukb.ppv","glove.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+sp.500d.emb","fastext.emb+glove.emb","fastext.emb+cbow.emb","glove.emb+cbow.emb","fastext.emb+en_wordsenses_BN.txt.nasari.unified","wordnet.randomwalks.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+sp.500d.emb","cbow.emb+sp.500d.emb","sp.500d.emb+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+wordnet.ukb.ppv","wordnet.ukb.ppv+en_wordsenses_BN.txt.nasari.unified"
"MC28",0.886242374529758,0.924846073883696,0.864065781283879,0.922929578171089,0.902669480637817,0.850376526193831,0.875838540661321,0.898836489212603,0.90924032308104,0.849828955990229,0.88678994473336,0.891718076565778,0.867898772709093,0.848460030481224,0.798083571749844,0.867624987607292,0.86433956638568,0.829021288253354,0.828473718049752,0.905954901859429,0.787405952779606,0.817248528875912,0.856673583535253,0.862423070673073,0.800547637666053,0.876933681068525,0.870910408828904,0.88678994473336,0.928131495105308,0.780561325234582,0.907323827368434,0.85585222822985,0.915263595320662,0.871731764134307,0.879671532086535,0.849007600684826,0.818069884181315,0.810677686432689,0.889801580853171,0.835592130696578,0.914442240015259,0.860506574960467,0.911704388997249,0.860232789858666,0.811499041738092,0.900205414721608,0.862149285571272,0.846269749666816,0.835318345594777,0.882135598002744,0.810403901330888,0.764134219126523,0.808487405618281,0.775359408300363,0.822450445810131
"RG65",0.836396618708743,0.867539394744382,0.837423783953427,0.853749154970004,0.844854341042632,0.82549118345135,0.841685426989883,0.855716067140676,0.845641105910901,0.814389056976891,0.853333917956196,0.846558998257214,0.831173374166625,0.836199927491675,0.800402125985446,0.829643553589436,0.831741593238152,0.825884565885485,0.798719323350537,0.839368841544425,0.792162949448298,0.828900497880515,0.823240161744915,0.838079421343651,0.794719935270171,0.832790613062511,0.838800622472897,0.842800010553264,0.859562473163324,0.767205019460438,0.858819417454403,0.820967285458805,0.848678892485605,0.821273249574243,0.831064101268254,0.813230764254162,0.789278144931312,0.804729332760924,0.842996701770331,0.797866994743246,0.829446862372368,0.82210372360186,0.85674323238536,0.826846167391147,0.803461767139824,0.822650088093713,0.814891712309396,0.79323382385233,0.813558582949274,0.824638854844059,0.794982190226261,0.767052037402719,0.792447058984061,0.721091856348017,0.769147553954737
"PSfull",0.847561708548285,0.864498082417018,0.851254930720951,0.858379134438637,0.848151749960486,0.844371114245272,0.848064336417938,0.858750641994467,0.853921043768674,0.829008184142409,0.863908041004817,0.852391306774079,0.842688403551218,0.850031141125275,0.816792141571285,0.849309979399251,0.841486467341179,0.838973327992915,0.819873468946112,0.85335285574211,0.807089238348424,0.834799331336234,0.832220631831059,0.841792414740098,0.807657426374988,0.830581627908279,0.84050306498751,0.86320873266443,0.847867655947204,0.786940416791041,0.85693681098659,0.829620078940247,0.845026715814385,0.832832526628897,0.83617609463137,0.8147379233214,0.809908325095606,0.82100984499924,0.834100022995848,0.806411783393675,0.81832187856588,0.826254657552138,0.849790753883267,0.828680383357853,0.801494771625333,0.811722156103484,0.818627825964799,0.787268217575598,0.814847190249585,0.824877894257002,0.804663512542709,0.77723751356818,0.800708049742398,0.72913821178098,0.77617517865338
"Agirre201",0.837461854489606,0.851206266513617,0.811470056341302,0.832306499256472,0.844121624694025,0.791732368368324,0.823585916991681,0.835177892467875,0.807388333207028,0.788651864431541,0.816945358373339,0.831835815397578,0.814068792811839,0.834339232844884,0.798218495390891,0.727541286933891,0.826891787611294,0.834303765301357,0.758638194628665,0.759108878487559,0.803234197171385,0.837365796559219,0.842945284500368,0.823158089747882,0.772607234428349,0.838399527671611,0.811571286621786,0.748327760624603,0.85242546332237,0.747980197798692,0.821078066101434,0.800674622780161,0.829048657602052,0.786187609063546,0.780155909942423,0.740693095418132,0.716861122889214,0.730226475541776,0.82268223353889,0.794436029655128,0.791539513600394,0.799227842567107,0.812239997598709,0.801406879772569,0.763275575944868,0.817783279089173,0.801108361281214,0.810189530238533,0.786264455407855,0.786426276075199,0.73992684869651,0.75023460353415,0.710089777704114,0.555619019849402,0.700684856819541
"SimLex665",0.710984359749384,0.657249274740135,0.707644923811586,0.702923496123147,0.68267242224362,0.723427794374736,0.661897495672716,0.662067066839922,0.652568408654441,0.684128294056401,0.663829803091976,0.654869361465241,0.652566735590344,0.655873771213676,0.692187872279734,0.713578425228706,0.62219033900487,0.627259580396518,0.696751603475411,0.697940356322837,0.666594153851229,0.59948789977157,0.623722845314587,0.592182281762626,0.656003433681201,0.59286811562311,0.646743574790749,0.726272268581663,0.517660007846835,0.681800470203944,0.528794657477405,0.663584637992089,0.506632128270169,0.689113800630311,0.67252092220552,0.576002588960154,0.695757354530882,0.687900543514829,0.497600479403204,0.513198986464143,0.541358205862995,0.486609958123633,0.524961381985874,0.538590733410976,0.503252661213365,0.436517725347157,0.450921521820226,0.457145748729047,0.518030693560445,0.548002535085953,0.490072976369188,0.520911852758184,0.56222469762222,0.542446003574417,0.509564723987284
"SimLex111",0.856371859243748,0.820062791117633,0.882123873845823,0.877380659024755,0.802625662811508,0.882053669001108,0.829136767297065,0.874252155632137,0.860404250012074,0.855941854569868,0.852523756192799,0.826034590721215,0.819588908415805,0.809865537422758,0.801568202337986,0.861251095951451,0.762135018622047,0.754079012690984,0.839799128088178,0.876358300973591,0.817649499580549,0.776004863256083,0.761468072597253,0.780480422106674,0.833493855472199,0.783775662005491,0.801853409519641,0.873247348792151,0.709770980070137,0.821589746490187,0.687599412548534,0.781630026438884,0.652382907318299,0.834639072001615,0.8380440069703,0.801379526817814,0.836021229881944,0.84852646784683,0.681065974187231,0.665511213280031,0.658881243257244,0.625836700410384,0.662549446393611,0.631444312382006,0.738440883530685,0.602296138416836,0.581783160351629,0.613853610978067,0.633199433499885,0.657297246448359,0.691232513262543,0.720029663004138,0.707392790955411,0.78487700050696,0.548168203141458
"SimLex222",0.720712988752144,0.567810495121564,0.758284622562525,0.755079113802776,0.593008152174679,0.764652314985015,0.567869724368109,0.680133277003827,0.699516047935534,0.689653281547966,0.704571922230852,0.611400478483613,0.629077666482417,0.652311983696369,0.589554758049761,0.733687484259099,0.509375907634811,0.52513527456726,0.691489388190848,0.779045570314293,0.582673197071602,0.490042494408557,0.480658497763891,0.467921467662063,0.640466134387457,0.435793440344286,0.590342836080173,0.794010278188935,0.369530720772559,0.679527274064645,0.435454517433503,0.609751382702507,0.412055674534705,0.726334831403331,0.758659192705025,0.613737840046325,0.763308140139823,0.802041873704168,0.273063279138906,0.381225754870363,0.446896181976643,0.324171537879467,0.384846965193823,0.459724798043035,0.42325713157797,0.225748982690893,0.290502453313632,0.271483284145434,0.41415502227334,0.486592939216286,0.438924912545855,0.483993981814669,0.649622537168086,0.619124959387133,0.407178036397971
"SimLex999",0.742924916643718,0.670674954659649,0.759272189297142,0.753550065223843,0.68774986913654,0.767593447701043,0.677911249924483,0.711608249608366,0.703589992747191,0.721290144299575,0.710801860363223,0.682320232907407,0.678993095664663,0.684954940490552,0.693792886696367,0.74947322965779,0.62130735647946,0.629272647650289,0.727278799959516,0.755250239209552,0.682174804443913,0.609066612917389,0.623182471909625,0.599499195372159,0.692680161856406,0.601224049768742,0.661188071925032,0.774301626707428,0.518879516884125,0.709497054403075,0.53379241894299,0.671071779076195,0.509298883493423,0.714191851107837,0.71350332120592,0.625918440793277,0.7406726501116,0.749893591037743,0.480415370361479,0.503830249687487,0.535797255479325,0.468849868638119,0.52290425337265,0.535767682316917,0.528008049200421,0.413303002105076,0.43203474187235,0.440966637333021,0.51395674684497,0.541147079075194,0.505860873973297,0.54681005080553,0.594498316971939,0.596616016654221,0.490028146662321
"SimVerb3500",0.679582722896467,0.589582169536815,0.659362296424744,0.707982790005925,0.608021963480524,0.670539403913024,0.567506523022195,0.592539973958071,0.601443417644795,0.598494095849826,0.627091155530098,0.544229345511331,0.549127403104374,0.581705694821816,0.592545283612409,0.675390562405333,0.473299596020616,0.509407703561397,0.607526435678502,0.696999465026189,0.534677486461679,0.485690087591837,0.471504348086787,0.449601286052765,0.530864640420785,0.446562078595273,0.500462307782917,0.690481561950005,0.464071917429532,0.550587183645188,0.514685416275775,0.514996198870787,0.467233861096533,0.582373334231663,0.594758913857571,0.551630361786803,0.617973023690579,0.654476878093231,0.396506946391988,0.457394557381366,0.556353247534474,0.390600410961585,0.380104652521524,0.419908620293006,0.354765018470309,0.288808857301369,0.335510132681263,0.34225860495126,0.368118977305307,0.476542557264446,0.345191475299566,0.411104607917675,0.41573784869966,0.470667648400452,0.410231392407016
"MTurk771",0.765022400358307,0.77900244483517,0.716297881517133,0.683652467247013,0.768152374197241,0.696043318374698,0.751382123036822,0.726941641108109,0.697741394836859,0.739695994522089,0.704128488455967,0.770812711879859,0.757639269105193,0.755972285271784,0.723961068986787,0.714316763946073,0.754963195279517,0.753955637008329,0.713912795421684,0.621900765356824,0.738758149197473,0.759384828920822,0.768203117367365,0.76037502768644,0.73938742472853,0.771683082927173,0.685285281917876,0.693841855525937,0.773479176446797,0.711580311508268,0.740683522594543,0.669789095404863,0.727898757316735,0.676054017903331,0.610094835307053,0.702788821634801,0.709708810181648,0.648664357589611,0.737782796343857,0.688197594263907,0.670605096899667,0.690851346855047,0.670387671056161,0.655368386555867,0.720599412515838,0.723351745104665,0.703412166656036,0.724547076670252,0.631696697692787,0.615783045181598,0.672715874005535,0.686813834822261,0.589225475979835,0.589543249191504,0.53755648871448
