"","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+wordnet.randomwalks.emb","cf.emb+wordnet.randomwalks.emb","attract.reppel.emb+paragram.ws.emb","paragram.sl.emb+wordnet.randomwalks.emb","attract.reppel.emb+glove.emb","attract.reppel.emb+paragram.sl.emb","attract.reppel.emb+fastext.emb","attract.reppel.emb+cbow.emb","glove.emb+cf.emb","fastext.emb+cf.emb","paragram.ws.emb+cf.emb","cbow.emb+cf.emb","glove.emb+paragram.sl.emb","paragram.ws.emb+wordnet.ukb.ppv","fastext.emb+paragram.sl.emb","paragram.ws.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+paragram.sl.emb","glove.emb+paragram.ws.emb","fastext.emb+paragram.ws.emb","cbow.emb+paragram.ws.emb","sp.500d.emb+paragram.ws.emb","paragram.ws.emb+paragram.sl.emb","attract.reppel.emb+cf.emb","glove.emb+wordnet.randomwalks.emb","paragram.sl.emb+cf.emb","paragram.sl.emb+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+paragram.sl.emb","cbow.emb+wordnet.randomwalks.emb","cf.emb+en_wordsenses_BN.txt.nasari.unified","paragram.sl.emb+wordnet.ukb.ppv","cf.emb+wordnet.ukb.ppv","attract.reppel.emb+wordnet.ukb.ppv","attract.reppel.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+wordnet.randomwalks.emb","attract.reppel.emb+sp.500d.emb","sp.500d.emb+cf.emb","sp.500d.emb+wordnet.randomwalks.emb","glove.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+wordnet.ukb.ppv","wordnet.randomwalks.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+sp.500d.emb","cbow.emb+wordnet.ukb.ppv","fastext.emb+glove.emb","glove.emb+cbow.emb","fastext.emb+cbow.emb","fastext.emb+wordnet.ukb.ppv","cbow.emb+sp.500d.emb","fastext.emb+sp.500d.emb","wordnet.randomwalks.emb+wordnet.ukb.ppv","sp.500d.emb+en_wordsenses_BN.txt.nasari.unified","wordnet.ukb.ppv+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+wordnet.ukb.ppv"
"MC28",0.887,0.895,0.862,0.846,0.868,0.887,0.834,0.888,0.869,0.874,0.854,0.829,0.838,0.85,0.825,0.85,0.871,0.823,0.858,0.849,0.816,0.798,0.791,0.858,0.909,0.813,0.859,0.781,0.886,0.867,0.776,0.813,0.847,0.875,0.893,0.817,0.809,0.837,0.911,0.868,0.827,0.882,0.853,0.819,0.791,0.886,0.846,0.853,0.792,0.77,0.816,0.795,0.817,0.808,0.713
"RG65",0.855,0.851,0.834,0.841,0.838,0.855,0.829,0.852,0.852,0.842,0.832,0.816,0.834,0.825,0.812,0.832,0.85,0.828,0.827,0.836,0.829,0.813,0.801,0.84,0.846,0.802,0.836,0.791,0.844,0.834,0.783,0.799,0.817,0.843,0.842,0.827,0.806,0.82,0.86,0.838,0.791,0.832,0.826,0.811,0.768,0.819,0.796,0.817,0.768,0.782,0.81,0.762,0.819,0.771,0.718
"PSfull",0.876,0.878,0.867,0.87,0.866,0.871,0.866,0.877,0.877,0.863,0.863,0.849,0.863,0.845,0.848,0.86,0.867,0.855,0.836,0.855,0.848,0.836,0.832,0.878,0.851,0.841,0.86,0.824,0.86,0.861,0.828,0.847,0.86,0.864,0.859,0.856,0.84,0.84,0.86,0.848,0.811,0.848,0.837,0.811,0.802,0.816,0.794,0.829,0.805,0.795,0.826,0.795,0.834,0.8,0.754
"Agirre201",0.831,0.811,0.809,0.79,0.823,0.826,0.774,0.8,0.808,0.818,0.797,0.767,0.815,0.831,0.762,0.813,0.81,0.82,0.827,0.81,0.821,0.757,0.782,0.739,0.846,0.745,0.8,0.738,0.817,0.784,0.734,0.687,0.708,0.78,0.821,0.721,0.71,0.733,0.818,0.807,0.776,0.792,0.795,0.754,0.752,0.815,0.807,0.798,0.746,0.736,0.731,0.71,0.715,0.687,0.52
"SimLex665",0.666,0.706,0.716,0.712,0.688,0.676,0.722,0.663,0.671,0.67,0.663,0.69,0.666,0.638,0.657,0.631,0.656,0.636,0.608,0.602,0.609,0.664,0.673,0.724,0.535,0.698,0.67,0.687,0.538,0.694,0.677,0.698,0.681,0.676,0.516,0.689,0.699,0.583,0.539,0.548,0.513,0.56,0.528,0.517,0.517,0.446,0.468,0.454,0.49,0.527,0.492,0.52,0.571,0.517,0.531
"SimLex111",0.826,0.88,0.86,0.885,0.807,0.874,0.88,0.866,0.856,0.832,0.827,0.858,0.821,0.776,0.815,0.769,0.792,0.769,0.795,0.787,0.788,0.846,0.826,0.877,0.705,0.844,0.773,0.835,0.688,0.821,0.788,0.846,0.861,0.817,0.647,0.864,0.851,0.805,0.656,0.632,0.666,0.647,0.619,0.741,0.651,0.593,0.617,0.577,0.601,0.724,0.692,0.618,0.699,0.547,0.758
"SimLex222",0.575,0.751,0.709,0.748,0.599,0.689,0.756,0.704,0.711,0.622,0.639,0.681,0.657,0.499,0.561,0.527,0.594,0.543,0.457,0.487,0.509,0.649,0.59,0.784,0.391,0.685,0.611,0.683,0.452,0.705,0.583,0.701,0.753,0.736,0.42,0.799,0.759,0.621,0.418,0.483,0.306,0.502,0.441,0.438,0.4,0.237,0.286,0.303,0.347,0.501,0.457,0.441,0.639,0.43,0.605
"SimLex999",0.675,0.75,0.74,0.756,0.691,0.718,0.762,0.709,0.714,0.691,0.687,0.72,0.691,0.635,0.668,0.631,0.663,0.639,0.613,0.609,0.619,0.697,0.686,0.769,0.531,0.724,0.672,0.713,0.54,0.712,0.679,0.727,0.733,0.708,0.514,0.749,0.741,0.627,0.531,0.541,0.495,0.549,0.519,0.537,0.51,0.421,0.451,0.437,0.475,0.551,0.51,0.515,0.596,0.498,0.581
"SimVerb3500",0.59,0.699,0.669,0.653,0.608,0.597,0.663,0.605,0.63,0.55,0.555,0.593,0.585,0.482,0.557,0.483,0.509,0.518,0.457,0.459,0.494,0.534,0.538,0.683,0.474,0.6,0.521,0.553,0.521,0.58,0.578,0.646,0.67,0.587,0.473,0.651,0.615,0.553,0.393,0.43,0.409,0.478,0.38,0.361,0.461,0.292,0.347,0.339,0.4,0.415,0.348,0.535,0.419,0.408,0.47
"MTurk771",0.759,0.673,0.743,0.705,0.748,0.722,0.686,0.69,0.697,0.757,0.737,0.715,0.738,0.756,0.703,0.735,0.69,0.737,0.759,0.741,0.742,0.721,0.715,0.684,0.765,0.694,0.674,0.697,0.729,0.679,0.679,0.674,0.592,0.609,0.717,0.644,0.695,0.69,0.675,0.66,0.697,0.62,0.637,0.713,0.649,0.714,0.714,0.69,0.643,0.676,0.662,0.603,0.593,0.532,0.553
