"","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+wordnet.randomwalks.emb","cf.emb+wordnet.randomwalks.emb","attract.reppel.emb+paragram.ws.emb","paragram.sl.emb+wordnet.randomwalks.emb","attract.reppel.emb+glove.emb","attract.reppel.emb+paragram.sl.emb","attract.reppel.emb+fastext.emb","attract.reppel.emb+cbow.emb","glove.emb+cf.emb","fastext.emb+cf.emb","paragram.ws.emb+cf.emb","cbow.emb+cf.emb","glove.emb+paragram.sl.emb","paragram.ws.emb+wordnet.ukb.ppv","fastext.emb+paragram.sl.emb","paragram.ws.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+paragram.sl.emb","glove.emb+paragram.ws.emb","fastext.emb+paragram.ws.emb","cbow.emb+paragram.ws.emb","sp.500d.emb+paragram.ws.emb","paragram.ws.emb+paragram.sl.emb","attract.reppel.emb+cf.emb","glove.emb+wordnet.randomwalks.emb","paragram.sl.emb+cf.emb","paragram.sl.emb+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+paragram.sl.emb","cbow.emb+wordnet.randomwalks.emb","cf.emb+en_wordsenses_BN.txt.nasari.unified","paragram.sl.emb+wordnet.ukb.ppv","cf.emb+wordnet.ukb.ppv","attract.reppel.emb+wordnet.ukb.ppv","attract.reppel.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+wordnet.randomwalks.emb","attract.reppel.emb+sp.500d.emb","sp.500d.emb+cf.emb","sp.500d.emb+wordnet.randomwalks.emb","glove.emb+en_wordsenses_BN.txt.nasari.unified","cbow.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+wordnet.ukb.ppv","wordnet.randomwalks.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+sp.500d.emb","cbow.emb+wordnet.ukb.ppv","fastext.emb+glove.emb","glove.emb+cbow.emb","fastext.emb+cbow.emb","fastext.emb+wordnet.ukb.ppv","cbow.emb+sp.500d.emb","fastext.emb+sp.500d.emb","wordnet.randomwalks.emb+wordnet.ukb.ppv","sp.500d.emb+en_wordsenses_BN.txt.nasari.unified","wordnet.ukb.ppv+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+wordnet.ukb.ppv"
"MC28",0.886847611144504,0.894627127889815,0.862115569817664,0.846174155959946,0.867990450681965,0.887207235560503,0.834485575087658,0.888009729010693,0.869449635601167,0.873725195798628,0.853850851716517,0.828653534115012,0.837844075226944,0.84993273500494,0.824558870175922,0.849539591662739,0.871428590841773,0.822845553607377,0.858047940001834,0.8487450921828,0.81649846782129,0.798026947488877,0.791183501230856,0.85786250100484,0.908796892192529,0.812924146283873,0.858685962227735,0.781447444859412,0.886153340510546,0.866880044145732,0.775619297934707,0.812735712294127,0.846799231562144,0.875312012361475,0.893261720542466,0.816900019398053,0.809013087694388,0.836805178461987,0.910820768679955,0.868162464149032,0.827149423281214,0.881578336570908,0.852815741227108,0.818788378667022,0.791287392373078,0.885967280764931,0.845712025583368,0.853189242401857,0.791734044612973,0.769758353308505,0.816321393025357,0.794846156511977,0.817412916086524,0.807667055954331,0.713154389253873
"RG65",0.855158761570844,0.85064937302311,0.834076405702665,0.84052145325165,0.838079511306271,0.855356137883834,0.829397826642025,0.851707236619994,0.852211937607595,0.842204241030244,0.832085801592927,0.816278106825366,0.833976540956132,0.824972253253604,0.811646093274559,0.832267904165931,0.850194878838322,0.827554745001096,0.826796380339296,0.835743362638696,0.829373133373584,0.812521000787479,0.801143614089731,0.839566663729371,0.846371971826655,0.802207111358984,0.836074539792825,0.791393513674948,0.844044000851085,0.834131887992131,0.783076277109549,0.798579405901939,0.817099815007083,0.842771377747351,0.841729572486372,0.826650999765513,0.805608505734977,0.820460607710799,0.859706101663134,0.837561165661397,0.791284075250605,0.832245025326249,0.825661144225539,0.811265543309047,0.767991391855758,0.818900712981511,0.796327225325026,0.816965632864418,0.768147697656669,0.781626319105713,0.809726558327578,0.76245431901742,0.818984600273559,0.770905379619246,0.7181723646541
"PSfull",0.875826552277405,0.878119291966209,0.867486733771963,0.870400767013389,0.866443467793946,0.870876424306883,0.865839730289993,0.877471121059164,0.876829331324245,0.862914624519044,0.862777190448697,0.84860729067735,0.863482466171499,0.844615982420705,0.847813054061691,0.860399501041156,0.866578104341915,0.854677405770124,0.835696243859995,0.855181769939223,0.847564946226467,0.835906077337177,0.831954341062995,0.878187711633724,0.850874509133504,0.841449506988792,0.860142054497071,0.823615370392336,0.859912622464336,0.861276984664676,0.828492847307339,0.846825542234882,0.86042519146771,0.86370051363694,0.8592973649481,0.855892657266354,0.840370212746493,0.839759796651643,0.860359331440041,0.84792972087762,0.810566721062426,0.848478548118173,0.837436049134355,0.811133412270589,0.801665089028482,0.815721799755084,0.793965955379814,0.828556854208405,0.805131313528306,0.795305726518736,0.826241247816651,0.794612845625305,0.833749003160085,0.799892602404331,0.754290281751214
"Agirre201",0.830995140968333,0.811274562740472,0.808527133481149,0.789934629344456,0.823283566075963,0.825751645066687,0.774301744264378,0.79996832432532,0.807909548199684,0.817539124206478,0.796977420824033,0.767355841521488,0.814874296873645,0.831240084078437,0.761966996652809,0.81265785424442,0.810320560983337,0.820200054685236,0.826648837906894,0.809968764677113,0.820840328808851,0.757283916016335,0.782349391139338,0.739119389645923,0.845618093338605,0.745407772810828,0.800400467770454,0.73848305406809,0.816666718422506,0.783595628796888,0.733911417690514,0.687125101054865,0.707602430118179,0.78020212342542,0.82149809149611,0.721410771967705,0.710392426550203,0.732858678560292,0.817540381099966,0.807153233106534,0.776492684807863,0.791792032362815,0.795494339194345,0.754493570959559,0.752096332846069,0.814944681624395,0.806823407605164,0.797859862752565,0.746281890973283,0.736420045454925,0.730847948923479,0.710168311315893,0.715436899647935,0.68720459423378,0.520306005952574
"SimLex665",0.666276967390006,0.705797508229018,0.715601919052634,0.711611207689266,0.688076231772513,0.67638120052962,0.722404301399141,0.662602692807341,0.671420591759416,0.669716300327612,0.662613404106363,0.689787372994261,0.665827454320543,0.638085763865083,0.657385643294639,0.631408151002843,0.655827493795316,0.63646515220387,0.60827764044065,0.601902194133334,0.609284485888904,0.663775987839403,0.672640291372436,0.724175688340475,0.534668948957365,0.698189025686699,0.670041017134586,0.687113011559246,0.53752389796989,0.69424306486362,0.677412452888033,0.697585855594353,0.681413451419879,0.67585906358164,0.515788457262792,0.689224339282027,0.698840502528476,0.582937600278207,0.538691068158718,0.547984989162104,0.513004051518453,0.559708073743011,0.527716293890798,0.517383176166835,0.516800910173524,0.446157839496278,0.467897213582933,0.453942402273995,0.490447517619702,0.526966826473635,0.492219433265828,0.520473129920076,0.570785081007208,0.516726178766525,0.530512008909336
"SimLex111",0.825809523260901,0.879835252018496,0.860034196579361,0.88479799655764,0.807124105644599,0.874173682753484,0.880147678019615,0.865527477903874,0.856099448279752,0.83233978077042,0.827394336685179,0.857722855646039,0.821434650556142,0.775733748856432,0.814762430204818,0.769056597647356,0.792251719681318,0.76930439003801,0.794594880531373,0.787284856803204,0.787844114422583,0.846242057967066,0.825539220461699,0.877259137388921,0.704996033584636,0.844082998047689,0.773426855823832,0.835028678835197,0.688176167640489,0.821391660363176,0.788091117062532,0.846309420937486,0.860725651552557,0.817276693610312,0.647251091732425,0.864100614073109,0.850951738305081,0.804609115650168,0.656424805620407,0.632132678339923,0.665696483890676,0.64663432635237,0.618630191848137,0.741358035358479,0.65071553406282,0.592839130042324,0.617278735479392,0.576532740535212,0.600522626984521,0.723923195976194,0.692278153150767,0.618263284031647,0.698545491335784,0.54736139307827,0.758310341253732
"SimLex222",0.575496839450329,0.750892601307876,0.708771245149973,0.748467708325011,0.599487756961528,0.689284421485422,0.755691152179157,0.703974700813422,0.710567119219942,0.621908146999301,0.639311849960052,0.680666181730069,0.657182506483716,0.499053681423638,0.5611878334115,0.527108298437601,0.594320910372827,0.543049578743261,0.456916818560037,0.486690653801994,0.508891000071972,0.649221514311682,0.589665981375395,0.78380583617748,0.391435831401811,0.684836310194778,0.61149690944583,0.68292368699336,0.45159455132134,0.705124962763305,0.582643222789749,0.701220320909915,0.752653437871346,0.73625559021048,0.420206360723519,0.799225967432634,0.759201549724714,0.621156849188884,0.417776839785763,0.482534071485336,0.305995218240757,0.502094168640942,0.440827211207601,0.438154916546022,0.399581237293109,0.237020494142067,0.2855354885812,0.303002180180149,0.346679470816406,0.501230895009125,0.456732588857649,0.44111334651521,0.63886617926945,0.429582037807502,0.60471472152279
"SimLex999",0.675404517863543,0.750009290913697,0.740213490731007,0.75561150565573,0.690670094015675,0.718032483492276,0.761567115157831,0.708577463119061,0.713942831470118,0.691006545825793,0.686721982453056,0.720361335400826,0.691244312164633,0.635288301488457,0.667967059328633,0.631383508194987,0.662674618995023,0.639230637448428,0.613004481546638,0.60925871724772,0.618733487210336,0.696675252423966,0.685596155314577,0.768554245712187,0.531219853374777,0.724304605717521,0.672022980340084,0.712865161536871,0.539983216939822,0.711846437248556,0.67869425870678,0.727013611664023,0.733380287401129,0.708190071020252,0.514174577181875,0.748846124744236,0.740779630848068,0.627343214801772,0.530775017604328,0.541494808655673,0.494740278973464,0.549003461610903,0.519076382800872,0.536572109697259,0.509538225862564,0.421465917187153,0.450961545667066,0.436685860726458,0.47461359750141,0.550951893290797,0.510007191172823,0.515274948260491,0.595663262527866,0.49795482580545,0.581216178121751
"SimVerb3500",0.590338374854905,0.699405260790983,0.669469979390189,0.653332987725694,0.60804027940631,0.597221027098924,0.662631421985881,0.604712437892427,0.630179841480178,0.550431286118948,0.554955713664526,0.592959319575873,0.584674725673248,0.481934065211005,0.557477522871475,0.483468359187626,0.508594798831377,0.517905388926645,0.456582054319349,0.45892631257996,0.494253084358313,0.534347610509847,0.537730637555325,0.682500672558806,0.474151152260502,0.600057923641891,0.521130454544958,0.553350067760952,0.520792216143823,0.579561799264707,0.577663034919082,0.645522217181641,0.669641147426769,0.586941464913822,0.472851641199059,0.650965490657233,0.615330857459888,0.552824492130842,0.392844654915617,0.43043235761988,0.408775292071447,0.477870375140038,0.379768222212105,0.360628432606206,0.461467132220455,0.292413163582758,0.34723547963398,0.33913923599074,0.400150923671969,0.414949784744336,0.347753280155086,0.534948395067868,0.419036935315762,0.408139119192145,0.469662897038291
"MTurk771",0.759226161666224,0.672612440858194,0.743420263058015,0.704763550859502,0.74756447815331,0.722209350802767,0.686490692472325,0.689977874578831,0.696739885228108,0.756890059114096,0.737250713432464,0.715358938096964,0.737521621485985,0.755880485927734,0.703044202218064,0.735499063525814,0.689866625825985,0.73663878304192,0.758894611234589,0.740778952494757,0.74169518057218,0.721459615600804,0.715138209337544,0.684307542197383,0.764772442513079,0.693853270254693,0.673911253296359,0.69737287044355,0.729018131237384,0.67933559439681,0.67904756788469,0.674023208322486,0.592244604965082,0.609003791805637,0.716624139645168,0.644465670616619,0.695108198827224,0.69030696433503,0.674804330417192,0.659659009662462,0.696979381886431,0.619560626873301,0.63692146072827,0.713063331512228,0.649263305377444,0.713804360341443,0.71396802631162,0.689710829625437,0.643060278899544,0.676362518579629,0.662216030056874,0.60305282601255,0.592909636777256,0.532097931091415,0.553266534634582
