Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman
Seco;0.6628699961472767;0.630771390571893;0.6850101901383451;0.653019801980198;0.6723521300034381;0.6612169351263484;0.6889710303355226;0.6642740505393823;0.6965768744197922;0.653019801980198;0.6968750448935859;0.653019801980198;0.6903713075823469;0.6612383626422343
Zhou;0.6452775135016053;0.646028151322595;0.6409422101887331;0.6590734446578986;0.6287842550788437;0.6524327619329098;0.6502501984830221;0.6581443032362938;0.6847918033782634;0.6590734446578986;0.6752586440252082;0.6590734446578986;0.6564125753125307;0.6524327619329098
Sanchez2011;0.6591536968884998;0.6408242204817496;0.6642569759397818;0.6533718782325995;0.6591454074512747;0.6575816462243239;0.6339137613821008;0.6224497561696468;0.6946480995829502;0.6533718782325995;0.6889478897228954;0.6533718782325995;0.688960658610923;0.6575816462243239
Harispe;0.6590573080086924;0.6309125166247969;0.6869834002744221;0.6539138466085415;0.6500883782374877;0.6429215309590661;0.658138165859544;0.6454159893601301;0.6941326092442359;0.6539138466085415;0.6959528831393089;0.6539138466085415;0.6646701279782594;0.6429215309590661
Sanchez2012;0.6677781094787782;0.634518250332496;0.6847910137323067;0.6493800797990247;0.6720388075528884;0.6589507906014482;0.660224546239971;0.6399316536131225;0.6972335219337826;0.6493800797990247;0.6973333203818077;0.6493800797990247;0.6878131892620594;0.6589507906014482
Meng;0.675608053844023;0.6461744495345056;0.6816808154421437;0.6581358061179252;0.6593349746565761;0.6487524013595389;0.6863183620516772;0.6559860351706812;0.7038537730844505;0.6581358061179252;0.7008307008487191;0.6581358061179252;0.674717405560498;0.6487524013595389
Yuan;0.6760007807062035;0.6480881483670755;0.6857793054571832;0.6652371804344613;0.6543282043867011;0.6504968967045959;0.6863341537764716;0.6656173341214718;0.7060641078536889;0.6652371804344613;0.7040024818418422;0.6652371804344613;0.6695008504802475;0.6504968967045959
HadjTaieb;0.41653844246419186;0.5343442441259052;0.6345263310164513;0.617461947687306;0.07899693248764962;0.15560070932466386;0.3150268886389749;0.46755135215014043;0.6490347936741734;0.617461947687306;0.6466765976505859;0.617461947687306;0.07934152497840552;0.15560070932466386
Resnik,ic-semcorraw-add1.dat;0.6688035532470897;0.6313924190926555;0.678324919497926;0.6504909856657308;0.6538072168533227;0.6436903354514556;0.6526447043719479;0.6358888724693366;0.6955027399454885;0.6504909856657308;0.69433697287635;0.6504909856657308;0.6707500771625486;0.6436903354514556
Resnik,ic-treebank-add1.dat;0.6715633550158454;0.6320067976946948;0.6697319298689499;0.646082828432097;0.6348978742587624;0.6382141273828875;0.640112699141215;0.6281638835525344;0.6912959873767461;0.646082828432097;0.6882250583664643;0.646082828432097;0.652430357088368;0.6382141273828875
CondProbHyponyms;0.6557476452645437;0.6267437564651988;0.67513339151049;0.6465675336190335;0.6584983716296967;0.6462154573666321;0.6469622698603009;0.6329259642382148;0.6868101589014295;0.6465675336190335;0.6873710361851474;0.6465675336190335;0.6748158427523056;0.6462154573666321
CondProbUniform;0.5713085554202618;0.5617463425447022;0.6155525181803874;0.6325181025565243;0.5597072088973486;0.6004632776710507;0.568243780674196;0.5704307669572928;0.651558809921281;0.6325181025565243;0.6431926530129471;0.6325181025565243;0.5719342313251572;0.6002260972365894
CondProbLeaves;0.6568664027270131;0.6289360130042855;0.6764954284441477;0.6477659967489287;0.6600528578727662;0.6476185902172307;0.6478213757803442;0.6362760455149993;0.6888153130888559;0.6477659967489287;0.6891343810587582;0.6477659967489287;0.6764432780778779;0.6476185902172307
CondProbLogistic, K=8.0;0.6501386375668932;0.6241332939264075;0.6617866193648474;0.6459934239692626;0.6205665541930311;0.630191369883257;0.6289774133612245;0.6283619033545145;0.6809356168634896;0.6459934239692626;0.6795611424427289;0.6459934239692626;0.6380167281270998;0.630191369883257
CondProbLogistic, K=10.0;0.6452509212998028;0.6219277375498744;0.661478808597118;0.6461404610610315;0.6215297135291793;0.6303701788089257;0.630392997778885;0.627997635584454;0.6783532064425389;0.6461404610610315;0.6778099789421212;0.6461404610610315;0.6378166478669386;0.6303701788089257
CondProbLogistic, K=12.0;0.64106938097207;0.6164515294813063;0.6606017904140763;0.6444454706664696;0.6211981772188131;0.6295847495197281;0.6311038424777532;0.6285990837889759;0.676099314070761;0.6444454706664696;0.6760819212740946;0.6444454706664696;0.6368638117743783;0.6295847495197281
CondProbCosine;0.6578906758138877;0.6274493867297177;0.6789322478069397;0.6478975173636767;0.6659516186978416;0.6523666321856066;0.6520854562110291;0.6387697650362052;0.6893493786437107;0.6478975173636767;0.6901767898029312;0.6478975173636767;0.6805393913608799;0.6523666321856066
CondProbCorpus,ic-semcorraw-add1.dat;0.660348081683061;0.6285495788384808;0.6655965021966944;0.6389312102852076;0.6419292153425094;0.6279370474360869;0.6376915874903725;0.6214090438894635;0.678816298516869;0.6389312102852076;0.6791506090087167;0.6389312102852076;0.6554663204993688;0.6279370474360869
CondProbCorpus,ic-treebank-add1.dat;0.6638091510282067;0.6281601891532437;0.6603143779133464;0.6364027634106695;0.6284641158984452;0.6256154869218264;0.6325572112624689;0.6202209250775823;0.6807076324747829;0.6364027634106695;0.6779244996215716;0.6364027634106695;0.6425502113317678;0.6256154869218264
