Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman
Seco;0.7833876577268956;0.7947454844006568;0.8239825368640066;0.8314176245210728;0.8557423266375123;0.8727422003284072;0.8463432729957492;0.867816091954023;0.8094105343617113;0.8314176245210728;0.8144015561582743;0.8314176245210728;0.842691786614835;0.8727422003284072
Zhou;0.8179030626069541;0.797071702244116;0.8221852688473528;0.8071975916803503;0.8282129024543602;0.8244389709906952;0.8281132557156206;0.8091133004926109;0.8344148589982433;0.8071975916803503;0.8337775606987831;0.8071975916803503;0.8402746799086095;0.8244389709906952
Sanchez2011;0.8189414784788269;0.7936507936507937;0.835656501393417;0.8114395183360701;0.8594643996126935;0.8492063492063492;0.8055870070730394;0.7348111658456487;0.8343240829193919;0.8114395183360701;0.8359020895988175;0.8114395183360701;0.847557021592452;0.8492063492063492
Harispe;0.7705165459720221;0.8279967159277504;0.8235865523815367;0.8327859879584018;0.8574992548875925;0.8697318007662835;0.8298754865132664;0.8338806787082649;0.8063809823889032;0.8327859879584018;0.8122175197676659;0.8327859879584018;0.8497427890578603;0.8697318007662835
Sanchez2012;0.79046208844025;0.7773672687465791;0.8260982334445031;0.8211548987411057;0.8507092642885908;0.8550903119868637;0.8176994460736753;0.8329228243021347;0.8103051734538336;0.8211548987411057;0.8158755557077646;0.8211548987411057;0.8410744411341922;0.8550903119868637
Meng;0.8201502544761675;0.8296387520525452;0.8392794288726265;0.8080186097427476;0.831356637646649;0.8197865353037767;0.8330131436123263;0.805008210180624;0.8330456323114062;0.8080186097427476;0.8361019846168554;0.8080186097427476;0.8393045960559585;0.8197865353037767
Yuan;0.808409904922117;0.797071702244116;0.8340782495070412;0.8041871921182266;0.8347454015966487;0.8274493705528189;0.8383768367748798;0.8082922824302134;0.8276720657903832;0.8041871921182266;0.8314954226300162;0.8041871921182266;0.8407161635185197;0.8274493705528189
HadjTaieb;0.539142830703677;0.6339627805145047;0.6842381292527971;0.6960864805692392;0.4586583980078694;0.6101532567049808;0.4845031522089886;0.467296113847838;0.6898926966997202;0.6960864805692392;0.6874997595068524;0.6960864805692392;0.4593515880955774;0.6101532567049808
Resnik,ic-semcorraw-add1.dat;0.7894155644577621;0.7905035577449371;0.8244783091020745;0.8225232621784346;0.8620962474421126;0.8712370005473453;0.82669189743419;0.8107553366174056;0.8100658654729301;0.8225232621784346;0.8155235892181875;0.8225232621784346;0.8497686427188671;0.8712370005473453
Resnik,ic-treebank-add1.dat;0.792904932466258;0.7935139573070608;0.8350119314501763;0.840311986863711;0.88087436118439;0.8882047071702244;0.8466237882710823;0.8255336617405583;0.8233081903898043;0.840311986863711;0.8276390933140474;0.840311986863711;0.8709925813915211;0.8882047071702244
CondProbHyponyms;0.7859859668066799;0.8130815544608648;0.8214841596039212;0.8033661740558292;0.855191956128332;0.8553639846743295;0.8110181212026288;0.8186918445539135;0.8070084753872072;0.8033661740558292;0.8123835377823643;0.8033661740558292;0.8429478171707472;0.8553639846743295
CondProbUniform;0.7407997085864013;0.7564313081554461;0.7752607320690139;0.774904214559387;0.6483156247508778;0.7281061850027367;0.6365406765707496;0.6154898741105638;0.8038502527621189;0.774904214559387;0.7970991125269768;0.774904214559387;0.6698253922691586;0.7281061850027367
CondProbLeaves;0.7868707901612139;0.8073344280240832;0.8219044632566648;0.8039135194307608;0.851087049733321;0.8389436234263821;0.8073259992371727;0.8110290093048713;0.8080141830081184;0.8039135194307608;0.8131420915344146;0.8039135194307608;0.8402194541948852;0.8389436234263821
CondProbLogistic, K=8.0;0.7699708738461463;0.7909140667761357;0.8142480317384801;0.7751778872468528;0.8019754641998058;0.8033661740558292;0.7687282088824019;0.7376847290640394;0.8078770125639153;0.7751778872468528;0.8119168001210703;0.7751778872468528;0.8095149826714434;0.8033661740558292
CondProbLogistic, K=10.0;0.757876740535172;0.7658730158730158;0.8108630390224988;0.7612205801860974;0.8035660590188314;0.8011767925561029;0.7684863844700519;0.7344006568144499;0.8040653062639385;0.7612205801860974;0.8083036746631403;0.7612205801860974;0.8104971067243485;0.8011767925561029
CondProbLogistic, K=12.0;0.7487853806155462;0.7658730158730158;0.8081537658276334;0.7666940339354132;0.8035106654848446;0.8022714833059661;0.7672786994062748;0.7469896004378763;0.8012883611807241;0.7666940339354132;0.8056016317543502;0.7666940339354132;0.8103812183800064;0.8022714833059661
CondProbCosine;0.7796996347304821;0.7791461412151067;0.8207940541033426;0.8115763546798029;0.8561993190369657;0.8605637657361795;0.8126547425009314;0.8323754789272031;0.8054148154924488;0.8115763546798029;0.8108966360226231;0.8115763546798029;0.8445452455877195;0.8605637657361795
CondProbCorpus,ic-semcorraw-add1.dat;0.7890101184931223;0.7848932676518884;0.8201637277209879;0.7943349753694582;0.8504426133953336;0.8247126436781609;0.8086078661671579;0.7888615216201423;0.8062128992419683;0.7943349753694582;0.8117549307029105;0.7943349753694582;0.8421828277217601;0.8247126436781609
CondProbCorpus,ic-treebank-add1.dat;0.7912182521248379;0.7706622879036672;0.8289890378037339;0.8058292282430213;0.8678168266937197;0.8501642036124795;0.8281268658342793;0.7946086480569239;0.8162750424352879;0.8058292282430213;0.8208870601977087;0.8058292282430213;0.8612817585110892;0.8501642036124795
